skills/dates,MCSE,MPLS,LAN,Linux,networking,Perl,Network troubleshooting,Javascript,Python,ORCAD
2023-04-12,5,2,4,2,2,3,2,5,0,0
2023-04-13,0,4,2,4,4,0,0,5,5,1
2023-04-14,2,3,5,1,2,1,1,1,0,9
2023-04-15,0,3,1,2,2,5,1,1,0,10
2023-04-16,4,3,5,5,2,2,4,0,0,0
2023-04-17,0,0,2,3,0,1,2,1,3,13
2023-04-18,3,4,3,2,1,3,0,1,4,4
2023-04-19,2,0,3,3,3,4,0,0,3,7
2023-04-20,1,2,3,3,4,5,3,2,1,1
2023-04-21,2,4,3,1,3,3,2,4,0,3
2023-04-22,2,1,4,2,5,3,0,5,1,2
2023-04-23,3,3,3,5,3,0,2,5,0,1
2023-04-24,1,2,2,4,1,5,1,5,4,0
2023-04-25,3,1,2,3,4,0,3,1,1,7
2023-04-26,4,3,4,3,2,0,4,1,2,2
2023-04-27,1,4,5,4,2,0,3,2,3,1
2023-04-28,3,3,1,2,2,2,1,4,0,7
2023-04-29,1,4,0,4,4,1,4,3,0,4
2023-04-30,0,3,0,5,1,3,1,0,1,11
2023-05-01,4,4,5,0,5,2,4,0,0,1
2023-05-02,5,1,2,5,5,4,3,0,0,0
2023-05-03,4,2,1,3,0,2,2,2,5,4
2023-05-04,1,3,4,2,0,0,5,0,5,5
2023-05-05,5,5,3,2,3,4,3,0,0,0
2023-05-06,0,1,4,3,3,5,4,5,0,0
2023-05-07,5,3,2,5,5,3,2,0,0,0
2023-05-08,5,4,0,4,2,4,2,3,0,1
2023-05-09,5,5,0,2,4,4,3,1,0,1
2023-05-10,0,4,3,2,0,3,1,1,1,10
2023-05-11,2,5,3,4,5,1,1,3,1,0
2023-05-12,3,1,2,4,5,1,4,4,1,0
2023-05-13,5,0,5,4,0,2,2,0,4,3
2023-05-14,2,2,1,4,2,0,5,0,5,4
2023-05-15,5,1,3,2,2,5,3,0,2,2
2023-05-16,0,4,1,2,5,3,2,4,1,3
2023-05-17,2,1,0,5,4,4,3,4,1,1
2023-05-18,4,1,2,4,4,3,2,1,2,2
2023-05-19,5,2,5,3,5,3,1,1,0,0
2023-05-20,1,4,4,0,1,1,4,1,2,7
2023-05-21,0,5,3,1,0,0,1,0,4,11
2023-05-22,2,0,1,0,2,1,5,4,4,6
2023-05-23,3,5,1,5,5,3,2,0,1,0
2023-05-24,0,3,4,2,3,1,3,1,4,4
2023-05-25,0,3,5,5,0,0,4,4,1,3
2023-05-26,2,2,5,5,3,4,4,0,0,0
2023-05-27,5,2,3,1,1,5,1,2,0,5
2023-05-28,4,0,1,0,3,4,5,4,0,4
2023-05-29,2,5,5,3,4,1,3,2,0,0
2023-05-30,4,0,0,0,4,5,0,2,5,5
2023-05-31,1,5,2,2,2,5,2,4,0,2
2023-06-01,4,3,5,2,3,0,2,1,4,1
2023-06-02,2,1,0,3,4,2,3,0,5,5
2023-06-03,5,2,0,2,3,2,1,2,5,3
2023-06-04,4,2,2,2,4,1,1,4,2,3
2023-06-05,0,2,3,1,3,4,4,4,0,4
2023-06-06,3,5,0,0,0,4,1,3,5,4
2023-06-07,0,5,1,0,2,3,3,2,1,8
2023-06-08,5,4,3,2,0,3,2,5,1,0
2023-06-09,5,2,0,3,0,1,0,4,0,10
2023-06-10,0,4,1,5,5,1,2,4,1,2
2023-06-11,5,1,4,5,3,2,1,1,3,0
2023-06-12,3,1,5,0,3,3,3,3,4,0
2023-06-13,0,4,4,0,1,4,1,1,4,6
2023-06-14,2,5,4,1,0,5,2,1,1,4
2023-06-15,3,0,4,1,1,2,4,2,4,4
2023-06-16,5,5,1,4,5,2,3,0,0,0
2023-06-17,1,3,3,0,0,1,2,5,3,7
2023-06-18,2,2,4,1,1,5,1,1,3,5
2023-06-19,3,2,4,0,0,2,3,3,3,5
2023-06-20,5,3,5,5,3,0,3,1,0,0
2023-06-21,4,0,5,5,0,2,4,0,5,0
2023-06-22,4,0,5,3,2,1,3,5,0,2
2023-06-23,0,4,2,3,0,0,3,3,1,9
2023-06-24,1,3,0,5,3,5,5,0,0,3
2023-06-25,1,4,1,1,2,4,5,4,0,3
2023-06-26,2,2,4,0,1,4,3,3,4,2
2023-06-27,0,2,2,0,5,2,2,0,2,10
2023-06-28,1,3,5,3,2,1,5,5,0,0
2023-06-29,2,2,0,0,5,0,0,2,0,14
2023-06-30,0,1,1,1,3,4,4,1,4,6
2023-07-01,1,2,0,1,0,3,4,5,2,7
2023-07-02,0,3,4,2,0,1,4,1,1,9
2023-07-03,3,1,2,5,4,0,5,1,4,0
2023-07-04,3,4,0,5,5,4,0,4,0,0
2023-07-05,5,2,0,1,4,4,1,1,1,6
2023-07-06,1,0,1,4,5,1,2,2,2,7
2023-07-07,2,0,0,2,0,1,0,3,3,14
2023-07-08,2,3,4,1,0,3,4,1,2,5
2023-07-09,4,1,5,5,0,3,5,2,0,0
2023-07-10,1,2,0,0,0,2,0,1,4,15
2023-07-11,4,3,0,3,1,3,3,4,4,0
2023-07-12,1,1,2,3,2,2,0,0,0,14
2023-07-13,3,4,3,4,1,5,1,4,0,0
2023-07-14,2,0,4,3,3,5,1,4,2,1
2023-07-15,2,0,2,2,4,0,3,1,5,6
2023-07-16,5,0,1,5,0,3,2,4,4,1
2023-07-17,5,5,0,1,4,0,0,3,4,3
2023-07-18,1,5,2,3,0,1,5,4,3,1
2023-07-19,5,4,5,3,5,0,2,1,0,0
2023-07-20,2,4,0,4,1,5,5,1,2,1
2023-07-21,2,5,5,1,3,5,2,2,0,0
2023-07-22,2,4,5,0,5,0,3,4,1,1
2023-07-23,3,0,4,1,2,5,3,0,4,3
2023-07-24,1,4,0,3,1,4,4,3,0,5
2023-07-25,5,2,5,3,1,0,1,5,2,1
2023-07-26,0,1,2,2,4,3,3,1,1,8
2023-07-27,0,0,3,5,1,1,2,2,1,10
2023-07-28,5,4,2,1,2,5,0,0,5,1
2023-07-29,4,5,1,5,1,4,0,2,1,2
2023-07-30,2,5,3,2,1,0,2,5,2,3
2023-07-31,2,4,5,3,4,0,0,1,0,6
2023-08-01,4,5,2,4,4,5,1,0,0,0
2023-08-02,1,4,1,3,1,4,3,0,2,6
2023-08-03,5,5,5,4,2,3,0,0,1,0
2023-08-04,1,3,2,5,5,2,4,2,0,1
2023-08-05,4,5,1,4,1,5,3,1,1,0
2023-08-06,0,0,1,0,0,0,4,2,2,16
2023-08-07,4,2,1,0,3,4,1,1,4,5
2023-08-08,4,0,0,1,3,0,0,1,5,11
2023-08-09,2,5,3,4,4,4,0,0,3,0
2023-08-10,3,2,1,4,1,4,1,5,2,2
2023-08-11,1,5,4,4,1,5,3,2,0,0
2023-08-12,4,0,4,2,0,0,5,0,5,5
2023-08-13,0,0,2,4,3,1,3,2,0,10
2023-08-14,1,1,3,3,1,2,2,5,3,4
2023-08-15,0,1,3,5,4,0,1,0,2,9
2023-08-16,2,2,2,4,5,5,1,3,1,0
2023-08-17,3,5,5,3,2,4,1,0,0,2
2023-08-18,5,2,4,4,3,5,1,0,0,1
2023-08-19,2,1,1,1,3,4,1,1,3,8
2023-08-20,0,1,1,0,0,4,5,2,4,8
2023-08-21,2,3,3,4,1,5,5,0,1,1
2023-08-22,4,4,0,5,1,3,5,3,0,0
2023-08-23,0,5,1,4,2,1,3,2,5,2
2023-08-24,4,0,2,0,5,5,4,1,4,0
2023-08-25,2,4,4,5,3,2,2,2,1,0
2023-08-26,3,0,5,0,0,4,4,0,4,5
2023-08-27,2,2,5,2,5,5,1,0,1,2
2023-08-28,2,1,0,4,4,0,4,2,2,6
2023-08-29,0,0,5,5,1,0,2,1,0,11
2023-08-30,2,3,2,3,1,2,0,4,3,5
2023-08-31,1,5,4,3,3,5,4,0,0,0
2023-09-01,1,0,1,1,0,2,3,1,3,13
2023-09-02,4,4,1,1,4,0,3,4,2,2
2023-09-03,1,4,1,1,0,5,1,0,2,10
2023-09-04,2,2,3,1,2,3,2,0,2,8
2023-09-05,5,0,1,4,0,3,2,3,5,2
2023-09-06,3,2,2,3,2,2,4,4,0,3
2023-09-07,5,0,1,0,2,2,3,0,4,8
2023-09-08,0,4,5,2,3,1,5,1,1,3
2023-09-09,1,1,4,2,5,1,0,4,5,2
2023-09-10,5,2,0,3,2,0,5,5,0,3
2023-09-11,3,0,0,3,4,2,4,3,0,6
2023-09-12,3,3,4,1,0,2,0,2,5,5
2023-09-13,4,5,1,1,2,4,2,0,3,3
2023-09-14,4,3,2,0,5,3,0,0,4,4
2023-09-15,3,4,4,3,3,3,0,0,4,1
2023-09-16,4,0,3,2,2,1,5,0,2,6
2023-09-17,4,0,1,1,1,3,4,0,5,6
2023-09-18,2,0,5,1,4,5,4,2,1,1
2023-09-19,4,0,1,1,1,1,1,4,4,8
2023-09-20,4,2,3,4,2,1,0,2,2,5
2023-09-21,1,5,4,2,5,4,3,1,0,0
2023-09-22,5,1,5,5,3,0,1,3,0,2
2023-09-23,5,0,0,5,3,2,2,2,1,5
2023-09-24,0,4,0,4,4,3,4,3,2,1
2023-09-25,3,5,5,1,0,3,5,3,0,0
2023-09-26,2,2,0,4,2,3,0,5,5,2
2023-09-27,4,1,0,3,2,1,0,2,5,7
2023-09-28,5,3,4,3,4,3,0,2,1,0
2023-09-29,0,5,1,5,5,4,3,2,0,0
2023-09-30,5,4,4,1,1,3,5,2,0,0
2023-10-01,3,4,1,2,1,3,5,3,0,3
2023-10-02,4,2,2,2,2,5,3,0,4,1
2023-10-03,3,3,5,1,0,1,4,3,3,2
2023-10-04,2,3,2,5,0,2,4,3,2,2
2023-10-05,2,4,0,3,3,3,5,1,0,4
2023-10-06,5,5,0,4,5,5,1,0,0,0
