skills/dates,Python,SQL,Linux,MongoDB,Azure,SQL.1,Oracle,C++,Perl,Ruby
2022-11-22,8,8,1,4,6,4,6,1,6,9
2022-11-23,4,5,8,6,1,2,8,7,7,1
2022-11-24,3,2,3,7,6,5,5,9,5,1
2022-11-25,3,2,8,4,4,9,4,4,5,7
2022-11-26,9,7,4,9,7,5,7,4,6,3
2022-11-27,3,1,7,2,4,3,2,2,8,4
2022-11-28,9,9,7,6,9,8,2,5,9,6
2022-11-29,9,8,3,7,9,7,8,5,4,3
2022-11-30,6,3,3,7,9,8,9,6,7,1
2022-12-01,9,6,1,9,8,2,6,2,8,2
2022-12-02,3,6,9,9,6,9,8,7,6,3
2022-12-03,9,3,9,8,6,4,7,1,9,2
2022-12-04,6,8,5,5,3,8,4,6,9,8
2022-12-05,8,9,2,2,6,8,1,2,8,4
2022-12-06,4,2,4,3,5,2,9,8,5,5
2022-12-07,1,9,5,4,7,9,5,6,9,4
2022-12-08,3,5,9,1,3,5,4,8,7,2
2022-12-09,2,8,3,1,9,6,9,2,9,1
2022-12-10,1,7,4,6,1,2,5,7,4,6
2022-12-11,7,4,3,5,1,3,3,2,7,3
2022-12-12,4,8,7,9,4,4,1,5,3,1
2022-12-13,5,3,2,4,9,1,2,5,2,8
2022-12-14,2,4,9,4,3,4,1,8,4,7
2022-12-15,9,1,9,2,1,2,5,4,1,2
2022-12-16,7,7,5,8,1,2,9,2,9,5
2022-12-17,8,1,3,4,5,5,6,4,7,7
2022-12-18,7,9,9,8,2,3,9,5,8,3
2022-12-19,9,5,6,9,1,7,6,8,2,5
2022-12-20,5,9,3,6,5,7,5,5,4,4
2022-12-21,9,1,6,7,6,1,2,3,3,6
2022-12-22,6,4,7,4,3,9,2,2,7,7
2022-12-23,6,1,6,6,6,9,8,7,7,9
2022-12-24,1,1,8,9,9,7,8,4,4,7
2022-12-25,7,7,8,6,7,9,7,8,6,3
2022-12-26,1,6,9,1,5,1,3,1,9,4
2022-12-27,7,1,7,7,5,1,5,7,4,9
2022-12-28,2,9,8,8,1,1,7,1,9,6
2022-12-29,2,4,1,2,7,3,3,1,3,8
2022-12-30,6,4,4,4,3,1,5,3,8,1
2022-12-31,4,7,7,6,9,9,3,2,5,5
2023-01-01,7,5,7,7,1,5,2,2,9,8
2023-01-02,3,2,8,6,8,9,7,9,3,9
2023-01-03,2,5,5,9,7,9,7,9,8,3
2023-01-04,3,6,4,9,8,7,2,7,5,4
2023-01-05,1,7,7,9,5,2,3,7,1,4
2023-01-06,4,5,4,1,8,7,2,9,3,7
2023-01-07,6,7,4,7,5,8,7,9,1,5
2023-01-08,5,7,6,2,1,7,7,5,8,4
2023-01-09,3,9,3,2,7,9,1,8,3,7
2023-01-10,8,5,4,7,7,8,8,6,9,1
2023-01-11,6,9,6,8,1,5,3,7,7,4
2023-01-12,5,9,7,9,3,2,7,9,2,4
2023-01-13,7,8,9,2,8,9,4,2,7,5
2023-01-14,9,6,5,2,1,5,1,8,1,6
2023-01-15,7,2,7,4,1,2,5,7,4,6
2023-01-16,4,6,5,6,9,3,9,5,1,4
2023-01-17,3,5,4,4,6,5,2,2,7,7
2023-01-18,9,6,6,6,4,9,6,3,9,7
2023-01-19,6,2,2,5,7,9,4,8,9,1
2023-01-20,8,5,5,3,7,9,1,4,3,1
2023-01-21,9,3,1,1,5,7,2,4,2,9
2023-01-22,9,3,6,4,1,3,3,3,3,5
2023-01-23,8,1,9,2,5,3,6,5,5,9
2023-01-24,6,9,9,5,5,3,2,1,4,6
2023-01-25,8,6,7,8,1,7,9,7,1,8
2023-01-26,7,4,4,1,1,1,4,9,9,7
2023-01-27,7,4,5,5,4,2,6,9,5,1
2023-01-28,7,7,7,2,4,5,8,9,3,1
2023-01-29,6,3,8,9,8,4,7,4,8,3
2023-01-30,1,9,4,6,6,7,8,9,1,8
2023-01-31,1,6,8,4,1,4,5,9,4,2
2023-02-01,4,7,3,3,8,9,7,4,4,5
2023-02-02,3,2,3,7,3,3,2,4,5,4
2023-02-03,9,8,5,1,4,7,4,8,9,5
2023-02-04,7,7,4,8,1,3,5,2,3,6
2023-02-05,9,5,3,5,3,1,5,1,7,7
2023-02-06,9,4,2,7,7,7,3,3,8,1
2023-02-07,4,9,5,5,9,3,4,8,8,5
2023-02-08,6,5,1,1,3,8,7,8,4,9
2023-02-09,7,7,1,9,7,3,8,9,4,7
2023-02-10,2,7,4,9,3,8,9,1,2,6
2023-02-11,3,8,7,6,8,7,7,7,9,7
2023-02-12,5,6,4,1,4,3,1,7,5,4
2023-02-13,2,7,9,5,9,6,9,6,5,4
2023-02-14,1,5,9,4,3,2,2,4,7,7
2023-02-15,4,2,6,3,7,5,6,4,6,7
2023-02-16,3,4,8,8,1,5,4,8,5,5
2023-02-17,4,6,7,2,8,5,9,2,7,9
2023-02-18,7,5,3,6,9,8,2,1,6,5
2023-02-19,8,8,4,5,1,9,4,8,8,7
2023-02-20,2,1,1,9,3,8,2,5,8,2
2023-02-21,6,3,8,4,5,3,5,6,9,3
2023-02-22,8,8,4,4,7,1,2,7,6,2
2023-02-23,5,6,7,6,2,9,5,1,6,1
2023-02-24,8,6,7,3,9,5,1,1,6,5
2023-02-25,9,5,3,5,8,4,2,2,6,6
2023-02-26,9,6,4,1,8,1,1,9,3,9
2023-02-27,6,2,6,6,4,3,4,8,5,7
2023-02-28,7,2,7,3,1,7,5,1,8,7
2023-03-01,1,8,2,5,6,7,5,1,5,7
2023-03-02,2,5,5,2,6,3,3,3,5,3
2023-03-03,8,9,1,8,8,4,8,8,6,5
2023-03-04,8,7,7,7,1,3,7,3,2,7
2023-03-05,1,3,6,8,5,8,9,4,4,4
2023-03-06,2,1,2,8,1,9,6,6,4,8
2023-03-07,6,7,1,4,1,3,2,4,6,9
2023-03-08,4,4,7,2,8,9,9,2,3,2
2023-03-09,7,3,7,1,8,4,3,7,3,4
2023-03-10,9,9,3,1,1,3,4,3,4,7
2023-03-11,2,5,3,6,8,8,3,3,3,9
2023-03-12,9,4,2,9,4,3,7,8,8,6
2023-03-13,2,7,6,5,1,9,3,4,6,3
2023-03-14,4,3,9,2,5,8,2,6,1,8
2023-03-15,8,8,9,7,6,5,2,6,9,1
2023-03-16,7,8,1,9,8,7,4,9,1,6
2023-03-17,2,6,9,8,4,7,4,4,1,6
2023-03-18,8,6,8,6,2,7,8,6,4,9
2023-03-19,4,7,9,4,4,4,1,9,2,5
2023-03-20,8,9,2,3,5,5,4,7,4,3
2023-03-21,3,2,4,4,7,1,3,5,3,3
2023-03-22,1,2,7,3,8,3,4,6,8,8
2023-03-23,7,6,7,2,8,6,6,1,2,6
2023-03-24,9,9,4,2,8,3,1,7,2,9
2023-03-25,7,6,1,4,6,3,5,2,2,3
2023-03-26,9,3,4,4,1,3,1,3,9,8
2023-03-27,1,8,8,4,5,3,3,5,3,9
2023-03-28,4,3,5,3,2,0,2,5,1,0
2023-03-29,0,0,4,0,1,1,4,3,1,11
2023-03-30,2,5,2,5,2,0,5,0,0,4
2023-03-31,3,1,3,3,1,4,1,1,1,7
2023-04-01,5,1,0,2,3,1,2,3,3,5
2023-04-02,1,0,3,0,0,3,2,4,5,7
2023-04-03,2,3,2,5,3,0,1,2,5,2
2023-04-04,3,2,4,1,0,1,3,4,1,6
2023-04-05,2,0,4,4,4,2,5,1,2,1
2023-04-06,1,5,0,3,3,5,3,3,1,1
2023-04-07,3,1,2,4,2,4,0,1,1,7
2023-04-08,3,1,5,2,1,4,1,5,0,3
2023-04-09,3,2,5,0,3,1,0,2,2,7
2023-04-10,5,5,3,3,4,2,2,0,0,1
2023-04-11,1,5,3,3,1,0,4,4,4,0
2023-04-12,2,5,3,4,3,2,0,3,1,2
2023-04-13,4,0,4,0,5,0,1,4,0,7
2023-04-14,3,0,3,4,1,4,4,5,1,0
2023-04-15,1,5,0,3,3,3,2,5,1,2
2023-04-16,2,3,1,1,1,5,2,0,5,5
2023-04-17,2,2,2,5,5,4,0,5,0,0
2023-04-18,3,3,3,3,4,2,5,2,0,0
2023-04-19,0,0,2,4,3,2,5,5,3,1
2023-04-20,2,4,2,2,2,3,3,1,2,4
2023-04-21,4,4,1,2,0,0,1,1,1,11
2023-04-22,4,3,1,0,3,2,0,3,3,6
2023-04-23,3,4,2,4,5,4,0,3,0,0
2023-04-24,5,4,3,0,5,2,3,3,0,0
2023-04-25,3,1,3,1,5,5,3,0,0,4
2023-04-26,2,4,0,1,2,3,1,1,2,9
2023-04-27,1,2,2,0,1,3,1,4,5,6
2023-04-28,0,3,2,1,4,2,2,5,2,4
2023-04-29,0,3,4,3,2,5,3,1,3,1
2023-04-30,0,2,0,0,1,0,5,1,2,14
2023-05-01,5,2,4,5,1,3,3,0,1,1
2023-05-02,0,3,4,1,5,1,4,3,1,3
2023-05-03,1,4,4,1,4,2,4,3,2,0
2023-05-04,0,0,1,4,0,5,4,1,3,7
2023-05-05,1,3,3,1,3,3,3,4,4,0
2023-05-06,2,4,1,0,3,4,0,0,2,9
2023-05-07,4,0,3,4,5,4,4,0,0,1
2023-05-08,4,3,4,0,2,1,5,2,4,0
2023-05-09,5,3,2,4,1,4,3,3,0,0
2023-05-10,4,0,5,5,0,3,3,1,3,1
2023-05-11,4,2,3,2,0,2,4,1,2,5
2023-05-12,0,2,3,1,5,3,4,2,4,1
2023-05-13,0,0,0,5,3,3,3,1,3,7
2023-05-14,5,5,3,1,1,0,2,3,3,2
2023-05-15,0,5,3,2,5,2,3,2,0,3
2023-05-16,3,5,2,3,1,2,0,2,0,7
2023-05-17,0,2,1,3,3,5,0,2,5,4
2023-05-18,1,1,4,0,1,0,5,3,3,7
2023-05-19,5,0,0,4,0,2,1,5,0,8
2023-05-20,4,4,5,3,0,1,2,4,1,1
2023-05-21,3,4,1,1,1,0,3,2,1,9
2023-05-22,0,1,5,1,3,2,1,1,0,11
2023-05-23,5,4,2,3,5,1,0,1,3,1
2023-05-24,4,3,4,0,2,0,5,2,1,4
2023-05-25,3,5,3,3,3,2,0,4,0,2
2023-05-26,1,2,4,3,2,2,5,3,0,3
2023-05-27,4,4,0,4,4,5,2,0,2,0
2023-05-28,5,3,4,2,2,0,1,3,3,2
2023-05-29,3,5,4,0,5,4,0,3,0,1
2023-05-30,5,0,0,0,1,3,3,1,1,11
2023-05-31,1,1,2,0,1,4,1,1,2,12
2023-06-01,5,5,0,5,2,1,2,5,0,0
2023-06-02,2,1,1,3,0,2,4,4,4,4
2023-06-03,2,4,2,3,3,5,0,1,1,4
2023-06-04,0,5,2,3,4,0,2,1,5,3
2023-06-05,1,3,3,0,5,1,1,0,2,9
2023-06-06,4,1,2,5,2,4,2,5,0,0
2023-06-07,5,1,4,0,5,4,2,1,3,0
2023-06-08,5,4,4,5,2,4,0,0,1,0
2023-06-09,2,0,2,3,1,3,3,1,2,8
2023-06-10,5,5,0,5,1,1,0,0,2,6
2023-06-11,0,2,4,2,0,2,0,2,5,8
2023-06-12,3,1,3,1,2,5,4,5,0,1
2023-06-13,5,0,5,1,4,5,3,1,1,0
2023-06-14,3,3,4,4,0,4,1,0,3,3
2023-06-15,0,3,1,3,2,1,1,0,0,14
2023-06-16,3,3,0,1,2,3,2,0,3,8
2023-06-17,2,0,3,4,3,5,5,2,0,1
2023-06-18,4,2,5,5,2,2,5,0,0,0
2023-06-19,0,0,1,0,2,3,5,0,1,13
2023-06-20,0,1,5,2,4,3,4,1,1,4
2023-06-21,0,1,5,2,0,1,2,1,2,11
2023-06-22,2,2,0,4,1,5,3,4,1,3
2023-06-23,2,2,2,2,1,2,3,5,5,1
2023-06-24,1,1,2,2,2,2,0,4,5,6
2023-06-25,0,1,2,0,5,3,2,3,4,5
2023-06-26,4,0,1,4,3,1,3,4,1,4
2023-06-27,3,5,3,5,3,3,1,0,0,2
2023-06-28,4,1,1,4,5,2,3,3,0,2
2023-06-29,0,2,4,1,0,0,4,3,0,11
2023-06-30,4,5,2,2,4,2,2,1,2,1
2023-07-01,3,0,3,5,2,3,3,3,0,3
2023-07-02,5,4,2,4,0,4,0,1,4,1
2023-07-03,3,3,5,2,0,3,2,3,1,3
2023-07-04,4,5,3,1,1,3,2,0,1,5
2023-07-05,3,3,5,5,3,5,1,0,0,0
2023-07-06,2,1,4,0,5,5,5,3,0,0
2023-07-07,0,2,2,3,0,4,0,3,3,8
2023-07-08,4,1,2,5,0,0,2,3,0,8
2023-07-09,5,2,4,2,5,4,1,1,0,1
2023-07-10,2,5,5,5,2,3,2,0,0,1
2023-07-11,4,0,0,2,1,4,3,0,5,6
2023-07-12,0,1,1,3,0,3,5,0,4,8
2023-07-13,1,1,0,1,2,0,5,2,1,12
2023-07-14,4,5,4,2,3,0,5,0,1,1
2023-07-15,4,0,0,1,3,4,5,0,5,3
2023-07-16,1,4,0,4,2,2,5,4,1,2
2023-07-17,5,3,0,5,0,0,1,1,0,10
2023-07-18,0,1,3,5,3,3,0,3,5,2
2023-07-19,2,0,1,2,1,4,1,4,0,10
2023-07-20,5,3,3,4,4,5,1,0,0,0
2023-07-21,5,5,1,4,4,4,0,1,1,0
2023-07-22,2,4,3,0,2,3,5,0,1,5
2023-07-23,1,2,5,4,4,1,1,4,3,0
2023-07-24,2,5,4,3,5,5,1,0,0,0
2023-07-25,3,0,1,0,4,3,1,5,4,4
2023-07-26,2,2,3,3,1,0,5,4,1,4
2023-07-27,3,0,2,1,4,5,3,1,5,1
2023-07-28,5,2,3,1,3,2,2,5,1,1
2023-07-29,1,1,1,5,2,0,1,3,2,9
2023-07-30,3,5,5,0,1,5,0,4,0,2
2023-07-31,5,2,1,3,1,5,0,1,2,5
2023-08-01,2,3,2,0,4,3,1,5,0,5
2023-08-02,2,2,0,0,2,2,5,3,0,9
2023-08-03,0,4,5,5,4,5,2,0,0,0
2023-08-04,3,4,2,2,1,3,4,3,1,2
2023-08-05,1,1,5,2,1,1,4,4,5,1
2023-08-06,2,1,5,0,4,0,2,5,4,2
2023-08-07,1,4,5,3,2,1,3,3,0,3
2023-08-08,1,3,1,1,3,4,1,0,4,7
2023-08-09,4,1,2,3,1,2,3,1,1,7
2023-08-10,0,3,5,5,1,3,3,5,0,0
2023-08-11,4,0,3,3,2,0,1,3,5,4
2023-08-12,4,0,0,4,4,0,0,1,1,11
2023-08-13,3,4,5,0,4,1,2,4,1,1
2023-08-14,4,0,0,4,5,4,3,4,0,1
2023-08-15,2,2,4,3,4,4,3,0,1,2
2023-08-16,3,1,5,2,2,5,0,2,1,4
2023-08-17,4,2,0,3,1,5,4,5,1,0
2023-08-18,5,2,2,1,4,1,5,2,1,2
2023-08-19,1,2,3,3,4,5,5,1,1,0
2023-08-20,5,2,3,0,4,1,5,0,3,2
2023-08-21,2,1,5,3,2,3,3,3,1,2
2023-08-22,4,0,4,3,4,5,0,5,0,0
2023-08-23,3,4,5,1,1,3,0,1,2,5
2023-08-24,0,4,5,5,2,3,0,2,3,1
2023-08-25,3,0,4,5,5,1,2,3,2,0
2023-08-26,0,0,2,4,4,4,1,5,1,4
2023-08-27,5,1,4,0,1,1,4,1,2,6
2023-08-28,1,5,0,3,4,2,2,5,0,3
2023-08-29,2,1,3,1,5,2,4,1,5,1
2023-08-30,4,4,0,3,2,1,3,1,1,6
2023-08-31,3,5,2,4,1,2,0,4,1,3
2023-09-01,4,2,3,4,5,5,2,0,0,0
2023-09-02,2,0,5,0,4,2,1,4,0,7
2023-09-03,4,3,2,5,1,4,3,3,0,0
2023-09-04,2,3,5,4,1,2,4,1,2,1
2023-09-05,5,0,3,1,0,2,1,5,4,4
2023-09-06,3,3,5,5,2,1,2,3,1,0
2023-09-07,4,0,3,4,2,4,1,1,5,1
2023-09-08,5,2,0,4,2,5,4,2,0,1
2023-09-09,4,0,1,0,1,4,3,1,5,6
2023-09-10,3,0,1,1,1,5,5,5,3,1
2023-09-11,5,2,2,2,2,2,3,4,2,1
2023-09-12,5,3,2,4,3,2,5,1,0,0
2023-09-13,4,0,3,4,5,1,3,1,2,2
2023-09-14,4,1,0,3,0,1,1,0,1,14
2023-09-15,0,1,5,1,1,3,5,4,1,4
2023-09-16,2,3,4,2,2,2,3,1,2,4
2023-09-17,2,1,1,3,0,1,0,4,2,11
2023-09-18,1,1,3,3,2,2,5,4,1,3
2023-09-19,0,1,2,4,0,1,4,3,1,9
2023-09-20,3,1,3,2,3,5,0,3,2,3
2023-09-21,1,3,2,2,0,3,3,4,2,5
2023-09-22,1,0,2,5,5,0,5,4,0,3
2023-09-23,2,1,5,3,5,0,4,3,1,1
2023-09-24,5,1,3,5,1,4,1,1,4,0
2023-09-25,2,5,1,1,2,4,0,0,2,8
2023-09-26,4,3,2,3,3,0,0,2,1,7
2023-09-27,4,5,5,3,0,5,1,0,1,1
2023-09-28,2,5,1,0,2,1,2,1,4,7
2023-09-29,4,2,1,0,2,0,0,1,0,15
2023-09-30,4,1,2,0,0,3,1,3,5,6
2023-10-01,2,2,5,2,4,1,2,1,3,3
2023-10-02,2,2,5,0,2,4,5,2,1,2
2023-10-03,4,3,3,1,2,0,2,4,2,4
2023-10-04,4,2,5,4,5,4,0,1,0,0
2023-10-05,3,2,0,2,0,5,1,4,5,3
2023-10-06,3,4,2,5,4,5,1,1,0,0
