skills/dates,Java,python,Networking,angular,javascript,c++,Azure,Front End,Pandas,sql
2022-11-30,5,9,2,6,2,4,1,7,7,8
2022-12-01,9,5,6,7,6,8,4,9,1,6
2022-12-02,3,6,7,6,2,6,3,2,3,6
2022-12-03,8,3,8,3,5,3,3,5,4,8
2022-12-04,9,4,7,5,6,6,9,8,9,2
2022-12-05,2,3,2,1,3,2,2,7,2,3
2022-12-06,5,9,2,3,1,1,3,4,6,3
2022-12-07,5,3,2,7,6,9,8,6,1,7
2022-12-08,1,6,9,9,7,2,7,7,1,4
2022-12-09,5,7,3,6,3,4,7,5,3,4
2022-12-10,6,7,9,7,8,3,1,3,2,7
2022-12-11,5,9,1,1,3,6,7,5,3,5
2022-12-12,9,3,2,6,4,7,4,9,6,9
2022-12-13,4,5,7,3,4,3,8,1,3,5
2022-12-14,6,1,4,3,6,1,3,4,8,2
2022-12-15,6,4,6,9,5,3,8,8,5,9
2022-12-16,3,7,6,7,8,9,7,8,7,8
2022-12-17,9,6,2,7,2,5,6,2,7,7
2022-12-18,9,5,8,7,4,8,1,3,7,3
2022-12-19,3,8,1,7,1,1,4,2,6,2
2022-12-20,9,3,2,6,4,8,6,7,8,9
2022-12-21,7,3,4,8,4,7,7,6,2,3
2022-12-22,1,3,6,7,5,4,3,4,2,3
2022-12-23,5,8,7,2,9,8,3,4,2,3
2022-12-24,2,9,7,9,9,9,5,2,8,6
2022-12-25,1,8,5,7,4,8,8,2,8,6
2022-12-26,8,8,1,6,8,5,4,2,2,9
2022-12-27,4,6,1,7,7,4,6,1,5,1
2022-12-28,4,2,6,4,9,8,6,1,8,6
2022-12-29,1,3,5,3,6,2,1,6,6,5
2022-12-30,8,7,1,1,9,4,8,9,8,8
2022-12-31,6,8,4,9,1,3,1,5,3,8
2023-01-01,6,9,7,5,6,9,8,7,6,3
2023-01-02,1,7,8,9,8,7,6,8,3,3
2023-01-03,5,4,7,2,5,8,9,1,7,7
2023-01-04,9,7,7,7,3,1,2,3,5,3
2023-01-05,5,7,6,9,1,7,3,2,7,5
2023-01-06,9,4,7,1,8,4,8,3,5,6
2023-01-07,8,3,7,9,2,1,5,6,2,2
2023-01-08,3,2,3,5,4,3,8,8,6,4
2023-01-09,3,2,2,6,1,2,7,2,4,6
2023-01-10,3,2,4,5,9,4,6,9,4,9
2023-01-11,1,7,7,1,5,1,7,6,3,4
2023-01-12,7,9,8,3,8,4,2,8,1,9
2023-01-13,3,5,4,2,7,6,1,6,1,4
2023-01-14,5,4,8,3,2,6,7,1,8,3
2023-01-15,7,1,5,3,4,9,3,9,3,1
2023-01-16,2,4,7,7,4,1,7,5,6,3
2023-01-17,5,6,3,7,6,3,1,2,7,8
2023-01-18,4,9,5,4,8,3,5,8,5,1
2023-01-19,5,6,5,9,4,1,2,7,6,8
2023-01-20,9,3,3,8,3,9,8,1,2,5
2023-01-21,7,7,5,1,2,2,7,1,8,5
2023-01-22,3,2,5,9,3,5,1,5,4,7
2023-01-23,6,1,2,7,1,9,2,5,1,5
2023-01-24,6,9,4,2,5,2,4,1,9,4
2023-01-25,6,2,4,6,4,3,7,8,9,5
2023-01-26,6,3,9,3,6,9,5,1,4,1
2023-01-27,5,6,9,4,5,3,6,2,5,5
2023-01-28,1,9,8,8,7,7,8,1,6,5
2023-01-29,3,8,9,5,4,7,9,9,5,6
2023-01-30,3,6,8,4,9,3,6,7,3,5
2023-01-31,4,3,5,6,1,9,2,5,3,2
2023-02-01,9,5,7,9,3,1,9,2,4,6
2023-02-02,3,2,1,7,5,2,2,7,8,2
2023-02-03,2,6,4,2,9,1,4,7,1,5
2023-02-04,8,2,9,4,1,9,6,7,4,4
2023-02-05,1,6,3,9,6,5,5,6,9,5
2023-02-06,9,7,1,6,6,5,8,3,2,3
2023-02-07,7,5,5,9,8,7,9,5,4,4
2023-02-08,3,7,7,6,6,8,8,3,4,1
2023-02-09,8,1,4,5,8,1,1,4,1,1
2023-02-10,5,3,8,5,4,7,9,5,6,7
2023-02-11,9,6,7,4,3,1,5,3,6,1
2023-02-12,1,8,5,5,9,3,4,3,2,7
2023-02-13,5,5,5,5,9,3,8,4,7,4
2023-02-14,9,6,3,2,3,6,6,8,1,6
2023-02-15,8,8,8,1,4,3,6,3,1,9
2023-02-16,4,9,8,5,1,9,2,4,8,7
2023-02-17,7,4,7,1,4,6,7,4,8,6
2023-02-18,8,2,3,6,6,5,8,9,7,2
2023-02-19,2,5,2,5,8,1,7,5,3,4
2023-02-20,7,4,3,5,5,3,1,7,3,6
2023-02-21,7,9,1,6,4,5,9,6,8,9
2023-02-22,6,5,2,3,3,5,9,1,8,7
2023-02-23,8,2,6,7,2,1,2,1,7,4
2023-02-24,9,2,9,7,9,1,3,1,9,2
2023-02-25,8,5,4,1,9,8,4,1,3,8
2023-02-26,5,2,4,1,2,3,3,3,9,5
2023-02-27,5,4,3,4,9,1,8,5,3,9
2023-02-28,7,5,6,7,9,7,2,8,2,4
2023-03-01,5,6,2,1,9,3,3,1,3,3
2023-03-02,7,3,1,4,3,8,6,6,7,7
2023-03-03,1,7,7,6,1,5,7,7,1,1
2023-03-04,9,5,7,8,3,6,4,9,4,4
2023-03-05,7,1,7,2,8,1,2,1,6,1
2023-03-06,8,1,9,5,4,7,9,8,2,8
2023-03-07,1,8,2,6,9,8,6,5,7,4
2023-03-08,9,1,6,4,5,3,3,3,3,4
2023-03-09,6,5,1,1,4,5,3,6,5,9
2023-03-10,2,2,8,4,1,8,7,2,1,8
2023-03-11,7,6,6,3,1,7,8,9,7,5
2023-03-12,2,7,4,8,4,1,4,3,2,3
2023-03-13,8,9,8,3,9,6,9,4,1,4
2023-03-14,7,7,4,8,4,4,8,2,2,6
2023-03-15,6,5,7,3,8,1,4,6,5,2
2023-03-16,7,7,9,9,4,4,7,9,5,6
2023-03-17,6,3,9,7,4,3,5,6,5,1
2023-03-18,4,1,1,2,1,8,6,7,6,3
2023-03-19,8,8,7,7,3,8,2,6,7,3
2023-03-20,5,3,7,3,7,2,6,9,9,6
2023-03-21,6,3,3,3,5,9,7,2,1,3
2023-03-22,3,3,6,1,3,3,3,9,5,2
2023-03-23,4,4,4,7,7,1,9,3,5,6
2023-03-24,9,9,8,6,4,8,4,1,1,9
2023-03-25,1,9,1,3,2,6,7,2,6,1
2023-03-26,4,5,4,7,6,2,2,1,3,8
2023-03-27,2,9,2,7,5,8,5,2,2,7
2023-03-28,1,3,1,1,4,0,2,2,3,8
2023-03-29,3,1,4,4,5,4,1,3,0,0
2023-03-30,5,0,3,1,4,5,5,2,0,0
2023-03-31,4,5,5,0,4,4,0,0,3,0
2023-04-01,5,5,5,4,2,2,0,2,0,0
2023-04-02,1,0,2,3,0,4,1,1,5,8
2023-04-03,3,3,5,1,4,4,3,2,0,0
2023-04-04,1,5,3,5,2,2,0,2,1,4
2023-04-05,5,1,2,0,1,3,5,0,1,7
2023-04-06,3,4,2,4,0,2,1,5,4,0
2023-04-07,5,4,0,5,1,4,2,0,1,3
2023-04-08,3,0,2,2,2,4,1,4,4,3
2023-04-09,5,1,0,0,1,0,3,5,3,7
2023-04-10,0,1,2,4,0,0,5,4,5,4
2023-04-11,0,1,2,0,4,4,0,4,3,7
2023-04-12,2,1,0,2,5,2,2,1,3,7
2023-04-13,5,4,4,5,2,3,0,1,0,1
2023-04-14,5,4,3,3,3,2,0,0,3,2
2023-04-15,4,5,3,0,3,4,5,1,0,0
2023-04-16,2,0,3,3,5,5,3,1,1,2
2023-04-17,3,2,4,2,1,0,3,5,2,3
2023-04-18,4,2,0,4,3,0,0,1,1,10
2023-04-19,2,2,2,4,3,0,2,2,0,8
2023-04-20,2,0,5,3,4,4,3,4,0,0
2023-04-21,3,3,5,5,5,3,1,0,0,0
2023-04-22,5,3,1,4,1,4,2,5,0,0
2023-04-23,0,2,1,1,5,2,4,5,3,2
2023-04-24,2,4,4,2,0,1,1,1,0,10
2023-04-25,5,5,0,0,4,5,5,0,0,1
2023-04-26,2,2,0,3,1,0,0,4,2,11
2023-04-27,1,3,0,4,3,1,0,3,5,5
2023-04-28,1,5,2,5,1,2,2,2,3,2
2023-04-29,3,4,5,2,4,3,3,0,0,1
2023-04-30,0,1,3,1,4,3,1,2,2,8
2023-05-01,4,0,1,1,4,2,2,1,1,9
2023-05-02,5,0,3,3,2,2,0,0,0,10
2023-05-03,0,5,0,0,0,0,1,0,2,17
2023-05-04,3,5,2,5,1,3,5,1,0,0
2023-05-05,5,4,4,1,3,2,2,4,0,0
2023-05-06,5,3,2,5,2,2,1,5,0,0
2023-05-07,2,2,3,3,3,3,5,1,2,1
2023-05-08,5,1,3,0,3,5,3,0,1,4
2023-05-09,4,0,0,1,0,3,4,0,1,12
2023-05-10,0,0,2,2,3,4,0,0,5,9
2023-05-11,5,1,3,5,1,4,1,3,2,0
2023-05-12,4,3,1,5,1,4,0,5,2,0
2023-05-13,3,2,4,3,3,4,0,4,0,2
2023-05-14,4,3,0,4,5,1,2,3,2,1
2023-05-15,4,3,2,5,2,4,3,1,0,1
2023-05-16,0,5,2,4,4,3,3,3,1,0
2023-05-17,0,3,4,4,2,4,4,3,0,1
2023-05-18,3,3,4,4,5,0,4,2,0,0
2023-05-19,0,1,1,2,5,1,3,2,5,5
2023-05-20,2,0,2,3,2,2,2,1,0,11
2023-05-21,0,2,4,2,3,5,3,0,2,4
2023-05-22,1,5,1,0,4,3,4,4,2,1
2023-05-23,3,4,2,5,1,4,5,1,0,0
2023-05-24,2,0,2,2,3,0,2,5,0,9
2023-05-25,1,1,3,1,2,2,1,5,1,8
2023-05-26,1,1,3,3,0,2,1,1,5,8
2023-05-27,0,4,2,5,3,3,5,0,2,1
2023-05-28,1,2,3,5,5,2,5,0,2,0
2023-05-29,1,4,0,2,2,0,0,0,4,12
2023-05-30,4,1,1,1,4,2,3,3,3,3
2023-05-31,1,4,4,1,5,1,2,2,4,1
2023-06-01,2,1,2,5,5,4,1,4,0,1
2023-06-02,5,2,5,2,5,4,1,1,0,0
2023-06-03,3,4,0,0,1,3,3,0,3,8
2023-06-04,1,3,0,4,0,1,1,5,2,8
2023-06-05,3,1,1,5,2,5,2,1,2,3
2023-06-06,2,0,1,4,5,2,5,2,1,3
2023-06-07,1,2,5,5,5,3,4,0,0,0
2023-06-08,3,1,5,4,1,5,1,0,5,0
2023-06-09,2,1,4,3,3,1,0,0,5,6
2023-06-10,0,2,1,0,4,5,5,3,0,5
2023-06-11,5,3,3,1,1,0,1,2,0,9
2023-06-12,1,0,2,5,2,1,2,2,3,7
2023-06-13,1,5,3,4,3,0,4,2,3,0
2023-06-14,4,1,1,3,1,0,4,1,2,8
2023-06-15,4,4,1,2,4,2,3,3,1,1
2023-06-16,1,0,4,4,1,0,2,2,1,10
2023-06-17,4,5,2,2,5,3,4,0,0,0
2023-06-18,2,3,4,0,1,1,5,0,1,8
2023-06-19,0,0,0,5,5,1,1,1,0,12
2023-06-20,2,1,1,2,3,2,5,5,1,3
2023-06-21,1,5,3,2,5,1,0,0,3,5
2023-06-22,2,4,1,1,0,0,4,1,5,7
2023-06-23,4,0,4,4,4,2,5,0,0,2
2023-06-24,3,2,5,4,1,2,1,4,0,3
2023-06-25,0,3,2,5,1,2,5,5,2,0
2023-06-26,3,0,4,5,0,0,1,5,1,6
2023-06-27,3,1,2,3,1,5,1,3,0,6
2023-06-28,3,5,5,5,0,2,3,2,0,0
2023-06-29,0,2,3,5,0,2,0,3,2,8
2023-06-30,2,0,3,4,5,2,0,5,2,2
2023-07-01,5,1,4,0,2,0,4,3,2,4
2023-07-02,2,2,2,3,0,5,4,1,2,4
2023-07-03,0,2,1,4,0,3,5,2,0,8
2023-07-04,4,2,5,2,3,3,4,2,0,0
2023-07-05,1,4,1,3,5,0,2,3,5,1
2023-07-06,1,4,4,0,5,0,5,5,0,1
2023-07-07,1,5,2,5,0,2,3,3,2,2
2023-07-08,5,4,5,3,5,2,0,1,0,0
2023-07-09,3,1,5,3,4,4,4,0,0,1
2023-07-10,3,5,2,2,3,1,2,5,1,1
2023-07-11,5,4,5,1,0,0,0,1,4,5
2023-07-12,3,1,5,3,4,2,1,0,2,4
2023-07-13,2,3,4,1,2,2,1,3,5,2
2023-07-14,0,1,3,5,2,0,2,4,0,8
2023-07-15,2,3,3,4,1,0,0,3,1,8
2023-07-16,4,1,3,5,4,1,1,4,2,0
2023-07-17,0,0,2,3,2,0,2,5,5,6
2023-07-18,3,0,4,0,5,2,2,1,3,5
2023-07-19,5,2,5,1,5,0,1,3,0,3
2023-07-20,1,1,3,5,1,1,1,1,1,10
2023-07-21,3,1,4,4,4,0,1,1,5,2
2023-07-22,2,3,1,1,3,4,3,4,1,3
2023-07-23,3,3,0,5,5,2,5,1,1,0
2023-07-24,2,5,4,3,1,0,0,1,3,6
2023-07-25,2,1,2,5,5,2,2,0,5,1
2023-07-26,5,1,4,0,1,0,3,3,2,6
2023-07-27,2,0,2,4,5,0,5,1,2,4
2023-07-28,0,1,5,2,2,5,2,1,0,7
2023-07-29,1,4,5,3,0,4,3,1,3,1
2023-07-30,1,3,3,5,2,4,4,3,0,0
2023-07-31,3,3,1,0,4,1,3,3,0,7
2023-08-01,3,0,0,3,5,5,3,2,0,4
2023-08-02,0,2,5,1,5,1,2,5,4,0
2023-08-03,2,4,0,4,3,2,4,2,4,0
2023-08-04,5,4,0,3,2,1,1,0,0,9
2023-08-05,2,2,3,3,4,0,2,5,2,2
2023-08-06,2,3,3,5,1,1,5,4,0,1
2023-08-07,2,2,3,0,1,4,1,3,0,9
2023-08-08,0,2,4,3,4,0,5,1,2,4
2023-08-09,2,1,4,1,5,2,5,0,3,2
2023-08-10,1,2,2,0,4,3,3,5,0,5
2023-08-11,3,2,5,4,4,4,1,0,1,1
2023-08-12,2,5,5,3,5,2,1,2,0,0
2023-08-13,2,3,3,2,0,3,3,1,2,6
2023-08-14,2,5,5,3,2,5,2,0,1,0
2023-08-15,0,0,5,3,4,2,0,2,1,8
2023-08-16,1,5,2,0,1,2,0,1,5,8
2023-08-17,0,0,2,5,4,5,5,0,4,0
2023-08-18,3,2,0,3,4,1,1,0,0,11
2023-08-19,0,1,3,3,0,2,3,1,1,11
2023-08-20,3,0,5,5,2,3,3,4,0,0
2023-08-21,0,4,1,5,2,0,3,0,0,10
2023-08-22,2,1,2,2,0,4,2,5,3,4
2023-08-23,5,5,1,1,4,5,3,1,0,0
2023-08-24,4,4,3,0,5,5,3,1,0,0
2023-08-25,2,0,3,3,0,5,0,3,2,7
2023-08-26,0,5,0,1,4,1,0,3,4,7
2023-08-27,1,5,5,1,3,5,5,0,0,0
2023-08-28,5,2,1,3,4,5,4,0,0,1
2023-08-29,4,5,0,1,5,5,5,0,0,0
2023-08-30,3,2,4,0,3,0,2,5,3,3
2023-08-31,4,5,5,0,1,5,1,1,2,1
2023-09-01,4,1,3,3,5,1,4,1,3,0
2023-09-02,0,3,2,0,1,5,0,1,0,13
2023-09-03,3,5,5,0,4,1,1,2,4,0
2023-09-04,1,2,0,4,4,4,0,4,4,2
2023-09-05,0,2,1,1,2,2,0,0,1,16
2023-09-06,2,2,1,0,5,2,3,5,0,5
2023-09-07,3,3,2,5,3,3,4,1,0,1
2023-09-08,2,2,1,2,0,1,2,5,4,6
2023-09-09,0,5,0,0,3,1,0,5,1,10
2023-09-10,0,5,1,3,3,4,0,0,2,7
2023-09-11,3,1,1,4,2,1,1,3,2,7
2023-09-12,1,0,1,1,1,0,4,3,0,14
2023-09-13,0,5,3,0,0,4,2,4,2,5
2023-09-14,4,1,2,0,1,1,2,3,2,9
2023-09-15,4,2,5,4,3,2,4,1,0,0
2023-09-16,1,0,5,3,4,2,3,0,4,3
2023-09-17,3,3,1,4,0,4,4,2,4,0
2023-09-18,4,2,5,0,3,0,5,1,4,1
2023-09-19,3,2,3,3,2,4,4,3,1,0
2023-09-20,2,2,2,2,0,5,3,4,5,0
2023-09-21,1,0,3,3,0,0,2,2,1,13
2023-09-22,0,0,5,2,1,5,4,4,4,0
2023-09-23,1,2,1,2,1,4,3,4,5,2
2023-09-24,2,5,2,2,2,5,1,3,2,1
2023-09-25,2,5,4,1,2,0,5,0,0,6
2023-09-26,0,1,4,0,1,2,0,4,3,10
2023-09-27,5,3,1,3,3,4,2,4,0,0
2023-09-28,1,4,5,5,3,0,5,0,0,2
2023-09-29,0,1,2,4,3,0,0,3,3,9
2023-09-30,2,3,0,0,3,4,5,2,4,2
2023-10-01,1,3,4,3,1,5,1,4,3,0
2023-10-02,3,3,5,1,2,2,2,0,1,6
2023-10-03,0,5,5,4,4,1,0,4,1,1
2023-10-04,1,0,1,4,5,3,4,3,1,3
2023-10-05,3,3,2,0,3,5,2,3,1,3
2023-10-06,1,4,2,2,2,1,1,3,0,9
