skills/dates,linux,Python,SQL,TAM,Android,IT security,mysql,microsoft,Cloud computing,cisco
2023-05-17,0,4,4,4,3,5,5,0,0,0
2023-05-18,5,5,1,3,1,2,0,5,2,1
2023-05-19,2,1,0,5,4,0,0,3,4,6
2023-05-20,3,5,4,4,5,4,0,0,0,0
2023-05-21,4,3,2,5,5,3,2,0,0,1
2023-05-22,1,0,4,0,2,1,2,0,4,11
2023-05-23,4,3,2,4,4,0,3,1,4,0
2023-05-24,1,1,4,4,5,2,2,3,3,0
2023-05-25,3,3,1,4,1,4,0,4,4,1
2023-05-26,2,2,0,0,3,1,2,1,0,14
2023-05-27,4,4,0,0,2,3,4,0,5,3
2023-05-28,0,1,2,1,1,3,3,3,1,10
2023-05-29,1,4,1,1,1,0,3,2,0,12
2023-05-30,2,5,3,4,4,4,1,0,1,1
2023-05-31,3,5,1,1,3,2,3,3,1,3
2023-06-01,5,3,5,5,4,0,3,0,0,0
2023-06-02,4,3,2,3,3,2,1,3,4,0
2023-06-03,0,1,2,4,0,5,1,2,0,10
2023-06-04,2,5,5,1,0,0,2,2,5,3
2023-06-05,5,0,2,3,2,3,5,3,1,1
2023-06-06,1,2,5,2,0,3,4,2,0,6
2023-06-07,3,3,4,0,2,3,5,2,3,0
2023-06-08,1,5,0,4,4,5,1,5,0,0
2023-06-09,0,2,0,5,0,2,0,0,4,12
2023-06-10,5,3,4,5,3,5,0,0,0,0
2023-06-11,2,3,3,5,0,5,4,2,1,0
2023-06-12,3,0,4,2,0,0,0,5,1,10
2023-06-13,0,1,4,3,4,3,4,3,3,0
2023-06-14,0,5,0,5,2,2,3,1,1,6
2023-06-15,5,1,1,4,4,3,1,0,1,5
2023-06-16,2,0,4,4,0,3,0,4,1,7
2023-06-17,4,1,0,4,4,2,0,3,4,3
2023-06-18,3,3,3,0,1,0,1,4,0,10
2023-06-19,4,0,4,0,1,0,0,4,0,12
2023-06-20,1,2,2,1,5,5,3,0,2,4
2023-06-21,3,2,0,2,4,2,4,3,4,1
2023-06-22,3,4,5,3,5,2,2,1,0,0
2023-06-23,3,5,5,2,1,3,2,3,0,1
2023-06-24,5,4,0,4,1,1,4,3,2,1
2023-06-25,3,1,2,5,2,0,2,3,1,6
2023-06-26,0,2,2,1,2,5,1,3,5,4
2023-06-27,3,1,4,0,0,1,0,4,0,12
2023-06-28,0,1,2,4,2,2,3,0,2,9
2023-06-29,1,1,3,2,4,4,1,3,1,5
2023-06-30,0,4,2,0,4,4,1,5,4,1
2023-07-01,5,4,4,5,2,2,0,3,0,0
2023-07-02,5,1,1,4,5,5,1,2,1,0
2023-07-03,0,4,0,4,3,1,5,4,1,3
2023-07-04,2,3,4,2,5,4,4,1,0,0
2023-07-05,3,1,2,5,5,3,3,1,2,0
2023-07-06,0,4,1,3,1,0,4,0,5,7
2023-07-07,3,5,4,0,2,3,0,5,3,0
2023-07-08,1,1,0,3,5,1,0,0,2,12
2023-07-09,5,1,2,5,5,2,2,0,1,2
2023-07-10,2,0,1,0,0,3,3,1,2,13
2023-07-11,2,5,0,0,0,4,4,4,3,3
2023-07-12,3,2,1,5,1,1,2,0,0,10
2023-07-13,2,0,1,5,1,1,2,0,5,8
2023-07-14,0,0,0,1,3,1,3,2,1,14
2023-07-15,3,4,0,0,1,3,4,2,5,3
2023-07-16,4,5,4,3,2,2,4,1,0,0
2023-07-17,4,3,0,3,0,5,1,4,4,1
2023-07-18,0,0,2,0,0,4,4,3,0,12
2023-07-19,5,0,2,4,4,3,0,3,0,4
2023-07-20,2,4,0,5,0,3,3,3,0,5
2023-07-21,2,0,0,1,0,1,4,5,1,11
2023-07-22,2,5,5,1,4,5,3,0,0,0
2023-07-23,0,5,5,3,0,4,0,2,3,3
2023-07-24,5,1,4,5,0,1,1,4,2,2
2023-07-25,2,4,3,0,4,0,1,4,0,7
2023-07-26,1,1,0,1,2,4,3,1,1,11
2023-07-27,1,2,0,2,0,3,5,0,0,12
2023-07-28,1,3,5,1,5,0,0,5,3,2
2023-07-29,4,0,4,1,2,3,5,1,4,1
2023-07-30,0,4,1,4,4,4,0,0,3,5
2023-07-31,2,5,3,2,4,1,4,2,0,2
2023-08-01,1,0,2,4,2,4,5,1,4,2
2023-08-02,5,1,5,5,3,3,2,1,0,0
2023-08-03,5,5,3,2,0,1,4,0,4,1
2023-08-04,0,5,3,5,5,1,4,0,2,0
2023-08-05,2,5,4,5,0,5,3,0,1,0
2023-08-06,3,3,5,5,0,0,1,1,5,2
2023-08-07,4,3,3,0,4,1,1,5,0,4
2023-08-08,1,1,3,4,4,3,5,4,0,0
2023-08-09,0,2,4,0,5,5,1,5,2,1
2023-08-10,0,2,0,0,2,2,5,2,2,10
2023-08-11,0,3,5,1,3,0,5,1,0,7
2023-08-12,0,3,0,5,0,0,3,5,3,6
2023-08-13,0,5,0,0,5,1,3,5,0,6
2023-08-14,2,1,5,2,4,0,4,1,2,4
2023-08-15,0,2,0,3,4,2,2,1,2,9
2023-08-16,3,4,1,0,2,4,1,3,4,3
2023-08-17,4,0,2,5,4,0,0,3,1,6
2023-08-18,0,4,5,3,0,2,3,3,3,2
2023-08-19,4,0,2,5,5,1,2,1,0,5
2023-08-20,1,0,0,2,0,5,1,0,5,11
2023-08-21,4,1,5,4,4,3,2,0,2,0
2023-08-22,5,2,1,3,0,2,1,4,4,3
2023-08-23,5,0,0,4,2,5,3,3,0,3
2023-08-24,0,1,3,1,4,3,5,5,2,1
2023-08-25,5,4,4,3,1,4,2,2,0,0
2023-08-26,3,3,4,1,0,5,0,2,1,6
2023-08-27,4,1,3,2,5,0,1,5,4,0
2023-08-28,0,3,1,2,5,2,1,1,3,7
2023-08-29,3,5,0,2,5,3,0,3,0,4
2023-08-30,5,1,0,1,5,2,3,5,1,2
2023-08-31,1,5,4,2,0,5,3,5,0,0
2023-09-01,2,3,1,0,0,4,1,1,3,10
2023-09-02,5,5,1,3,0,4,2,3,2,0
2023-09-03,5,0,4,5,4,5,0,1,0,1
2023-09-04,1,5,4,5,1,1,2,5,1,0
2023-09-05,2,4,0,5,5,5,1,0,2,1
2023-09-06,4,1,0,0,4,0,5,3,3,5
2023-09-07,2,4,1,1,3,1,4,1,2,6
2023-09-08,5,0,3,1,4,3,1,5,3,0
2023-09-09,1,1,0,1,3,3,2,4,5,5
2023-09-10,5,2,3,3,3,0,1,1,1,6
2023-09-11,5,1,1,2,4,5,0,4,2,1
2023-09-12,5,4,5,3,5,2,1,0,0,0
2023-09-13,2,2,2,0,3,5,3,1,5,2
2023-09-14,2,4,2,3,0,0,5,0,4,5
2023-09-15,5,0,5,3,5,4,0,0,0,3
2023-09-16,2,4,4,4,0,3,3,3,1,1
2023-09-17,1,3,5,0,5,0,1,1,0,9
2023-09-18,2,3,3,1,4,0,0,2,5,5
2023-09-19,5,2,2,3,1,4,2,0,4,2
2023-09-20,4,1,4,1,5,4,0,1,4,1
2023-09-21,0,5,2,3,4,5,4,0,1,1
2023-09-22,3,5,3,3,3,1,4,2,0,1
2023-09-23,1,2,0,1,1,4,5,2,5,4
2023-09-24,4,1,1,3,5,2,0,3,3,3
2023-09-25,2,5,4,2,1,0,2,5,3,1
2023-09-26,5,3,3,0,2,4,1,5,1,1
2023-09-27,3,4,2,3,3,4,5,0,0,1
2023-09-28,5,0,3,4,0,1,5,3,3,1
2023-09-29,2,1,4,3,4,2,2,4,1,2
2023-09-30,5,3,0,3,0,2,3,4,1,4
2023-10-01,1,2,1,1,0,4,2,2,0,12
2023-10-02,1,5,3,2,4,0,0,0,0,10
2023-10-03,2,2,0,0,0,4,0,3,0,14
2023-10-04,2,0,1,1,3,0,1,4,1,12
2023-10-05,2,5,4,1,0,4,5,3,0,1
2023-10-06,5,4,5,5,2,1,2,0,0,1
