skills/dates,cisco,Front end,Python,Perl,Networking,OSPF,Linux,Java,C++,Web Designing
2023-01-16,3,1,1,1,2,4,2,5,4,8
2023-01-17,7,3,9,6,6,5,4,8,8,7
2023-01-18,8,1,2,8,3,2,7,4,9,7
2023-01-19,6,2,8,9,3,6,4,5,7,8
2023-01-20,5,5,3,5,6,9,1,6,3,6
2023-01-21,9,3,3,8,7,1,7,3,5,7
2023-01-22,2,9,8,5,5,9,5,3,7,9
2023-01-23,1,3,7,8,2,8,2,3,2,2
2023-01-24,7,5,2,4,6,9,1,8,9,7
2023-01-25,7,9,3,4,7,9,9,6,5,8
2023-01-26,6,5,2,4,9,3,8,7,7,9
2023-01-27,2,3,4,9,9,3,5,8,2,1
2023-01-28,5,9,4,6,2,5,9,3,1,7
2023-01-29,3,2,2,4,5,6,2,4,7,3
2023-01-30,8,1,2,9,6,1,6,5,2,5
2023-01-31,5,3,7,2,9,7,2,1,5,5
2023-02-01,8,9,2,5,8,9,2,3,7,9
2023-02-02,4,8,5,1,2,5,7,4,3,1
2023-02-03,4,4,1,1,2,7,3,7,2,9
2023-02-04,9,3,9,8,6,1,6,1,3,9
2023-02-05,1,4,5,3,7,1,4,8,6,7
2023-02-06,3,4,3,3,2,4,4,9,1,6
2023-02-07,9,4,6,9,3,8,4,6,7,5
2023-02-08,2,2,6,2,7,2,9,5,4,5
2023-02-09,2,1,5,4,4,6,3,2,7,3
2023-02-10,5,5,3,6,3,5,3,1,2,1
2023-02-11,2,9,4,7,6,7,3,9,3,8
2023-02-12,8,4,3,3,3,7,7,5,5,7
2023-02-13,4,5,1,6,7,2,3,6,4,1
2023-02-14,5,8,7,2,6,6,3,1,3,7
2023-02-15,8,8,7,7,3,3,4,1,2,3
2023-02-16,6,6,5,2,4,8,3,6,7,8
2023-02-17,5,5,6,1,4,1,1,1,4,3
2023-02-18,9,6,9,9,4,5,5,3,7,9
2023-02-19,5,3,2,5,3,2,4,6,6,8
2023-02-20,2,9,3,3,1,1,5,2,1,4
2023-02-21,3,2,5,9,2,8,4,6,7,9
2023-02-22,9,7,1,4,1,7,2,8,4,1
2023-02-23,1,7,4,9,6,1,9,7,8,5
2023-02-24,7,7,3,5,1,8,6,8,8,8
2023-02-25,8,8,9,4,6,9,9,6,2,4
2023-02-26,3,4,4,1,2,5,4,6,6,9
2023-02-27,3,8,1,4,1,6,4,9,2,6
2023-02-28,4,5,4,7,4,7,9,5,2,6
2023-03-01,7,5,2,5,3,9,2,8,7,8
2023-03-02,7,5,2,2,5,6,9,9,3,1
2023-03-03,9,5,5,9,1,2,2,3,1,6
2023-03-04,7,8,7,5,6,2,5,7,7,4
2023-03-05,3,9,5,9,4,6,9,2,6,4
2023-03-06,2,5,5,8,2,5,2,1,8,3
2023-03-07,9,8,1,8,3,7,1,2,7,1
2023-03-08,6,4,2,3,3,6,2,6,9,1
2023-03-09,3,4,6,6,3,7,1,2,5,4
2023-03-10,6,7,3,4,7,7,9,3,2,8
2023-03-11,7,4,2,6,1,1,7,5,4,5
2023-03-12,6,5,6,5,9,7,9,7,7,6
2023-03-13,5,5,7,5,6,2,9,1,7,5
2023-03-14,9,5,4,2,9,2,2,4,2,5
2023-03-15,6,3,2,5,1,3,5,7,8,8
2023-03-16,2,2,3,9,3,4,1,1,7,4
2023-03-17,6,9,5,1,5,7,3,3,5,6
2023-03-18,5,6,8,6,6,1,1,8,1,4
2023-03-19,7,2,5,7,3,5,2,6,8,2
2023-03-20,6,9,1,8,5,1,7,4,7,2
2023-03-21,1,8,6,7,7,8,2,6,3,2
2023-03-22,9,9,8,6,3,4,9,6,8,3
2023-03-23,1,4,7,8,6,8,9,4,6,2
2023-03-24,5,9,6,9,3,2,8,6,8,7
2023-03-25,3,2,5,2,3,8,6,4,5,1
2023-03-26,3,4,8,5,8,1,5,7,6,5
2023-03-27,9,8,6,2,8,9,4,4,4,3
2023-03-28,4,4,2,1,1,2,1,5,2,3
2023-03-29,2,2,4,3,2,4,4,3,0,1
2023-03-30,5,1,5,4,4,3,3,0,0,0
2023-03-31,0,0,3,3,2,3,2,2,3,7
2023-04-01,2,4,2,4,0,5,2,5,0,1
2023-04-02,2,5,1,1,5,2,0,5,3,1
2023-04-03,3,3,2,3,5,4,0,2,1,2
2023-04-04,5,3,2,0,2,4,1,5,2,1
2023-04-05,5,2,0,0,3,1,5,3,3,3
2023-04-06,4,1,1,3,2,3,2,2,2,5
2023-04-07,1,3,0,2,3,3,4,1,4,4
2023-04-08,0,4,0,0,4,1,0,5,3,8
2023-04-09,5,0,2,2,4,1,4,5,0,2
2023-04-10,5,2,4,3,3,2,2,4,0,0
2023-04-11,1,0,1,4,5,0,5,2,5,2
2023-04-12,5,3,5,2,2,2,3,0,2,1
2023-04-13,0,5,3,1,4,2,4,0,5,1
2023-04-14,1,2,4,3,4,1,5,0,0,5
2023-04-15,5,1,4,0,3,4,2,3,2,1
2023-04-16,3,0,2,4,0,1,4,1,0,10
2023-04-17,0,2,0,0,2,4,5,0,3,9
2023-04-18,4,2,4,1,3,2,3,5,1,0
2023-04-19,1,2,2,3,0,1,2,1,0,13
2023-04-20,2,0,2,3,4,0,1,0,0,13
2023-04-21,1,3,3,0,5,5,3,0,2,3
2023-04-22,5,1,5,0,2,4,3,2,0,3
2023-04-23,4,3,5,5,5,0,1,1,0,1
2023-04-24,0,0,1,0,4,2,4,0,5,9
2023-04-25,1,2,0,5,0,2,2,1,0,12
2023-04-26,0,0,2,4,2,1,2,2,5,7
2023-04-27,0,5,3,2,1,0,1,3,1,9
2023-04-28,1,1,3,4,0,4,1,2,3,6
2023-04-29,1,4,4,4,4,5,3,0,0,0
2023-04-30,4,4,4,2,1,5,5,0,0,0
2023-05-01,2,3,4,3,3,5,2,0,2,1
2023-05-02,2,1,1,5,3,4,4,4,0,1
2023-05-03,1,0,5,2,5,5,0,4,1,2
2023-05-04,5,5,2,4,0,5,2,2,0,0
2023-05-05,5,5,2,5,3,0,1,3,0,1
2023-05-06,2,4,5,2,2,3,5,0,1,1
2023-05-07,0,0,5,5,2,2,2,5,0,4
2023-05-08,4,0,0,5,4,0,5,3,2,2
2023-05-09,2,1,4,2,1,5,0,5,0,5
2023-05-10,1,0,5,5,5,0,5,2,2,0
2023-05-11,1,3,5,5,3,4,3,0,1,0
2023-05-12,0,0,1,1,1,2,4,4,3,9
2023-05-13,3,0,5,1,3,3,5,1,4,0
2023-05-14,2,1,2,0,4,0,5,0,5,6
2023-05-15,1,2,5,2,0,4,5,4,2,0
2023-05-16,3,3,0,4,3,5,0,0,0,7
2023-05-17,1,1,3,4,4,2,0,3,2,5
2023-05-18,4,3,2,2,0,5,1,0,4,4
2023-05-19,3,2,1,5,5,4,0,1,2,2
2023-05-20,5,2,1,2,1,1,1,5,4,3
2023-05-21,1,5,2,0,2,2,2,4,1,6
2023-05-22,1,4,4,2,4,3,5,2,0,0
2023-05-23,4,0,4,0,5,1,0,0,3,8
2023-05-24,5,4,2,4,1,5,3,1,0,0
2023-05-25,5,0,5,5,0,4,4,1,1,0
2023-05-26,3,0,4,4,5,1,4,4,0,0
2023-05-27,0,3,1,2,3,0,0,0,4,12
2023-05-28,3,3,5,5,5,1,1,1,0,1
2023-05-29,1,3,0,0,2,0,3,1,3,12
2023-05-30,4,3,4,2,4,1,2,2,0,3
2023-05-31,5,2,0,4,3,2,3,2,0,4
2023-06-01,4,0,5,1,1,4,3,3,4,0
2023-06-02,1,0,4,2,1,2,3,2,0,10
2023-06-03,3,0,0,0,4,2,2,0,3,11
2023-06-04,5,3,2,4,5,1,3,2,0,0
2023-06-05,4,0,4,3,2,0,5,4,3,0
2023-06-06,4,4,0,1,2,4,3,4,0,3
2023-06-07,4,4,5,5,5,0,2,0,0,0
2023-06-08,2,3,0,1,3,5,4,1,4,2
2023-06-09,1,1,2,5,0,4,1,1,2,8
2023-06-10,3,4,0,0,1,3,3,3,2,6
2023-06-11,5,1,1,2,4,1,3,2,4,2
2023-06-12,0,4,3,3,2,1,4,2,4,2
2023-06-13,5,2,2,3,0,0,0,4,2,7
2023-06-14,3,2,5,3,0,3,1,2,3,3
2023-06-15,4,3,1,0,1,4,4,4,1,3
2023-06-16,4,3,0,1,5,0,5,1,1,5
2023-06-17,3,3,4,2,2,1,4,3,0,3
2023-06-18,1,2,2,0,1,0,1,2,0,16
2023-06-19,3,0,2,4,3,4,2,3,0,4
2023-06-20,0,0,4,0,5,5,4,3,1,3
2023-06-21,1,2,1,4,3,1,5,5,2,1
2023-06-22,5,0,3,4,4,1,2,1,4,1
2023-06-23,5,3,2,0,4,2,0,0,3,6
2023-06-24,0,2,4,2,0,2,1,0,3,11
2023-06-25,1,4,1,3,5,5,3,3,0,0
2023-06-26,1,0,3,4,3,0,4,5,5,0
2023-06-27,3,5,3,4,3,4,1,1,1,0
2023-06-28,4,4,0,5,1,0,4,4,1,2
2023-06-29,2,1,1,3,2,1,5,5,0,5
2023-06-30,5,2,1,3,0,4,5,3,2,0
2023-07-01,5,0,3,1,2,4,1,5,4,0
2023-07-02,2,2,4,5,2,3,5,0,2,0
2023-07-03,4,1,0,4,5,4,3,0,2,2
2023-07-04,0,1,2,0,2,0,1,4,0,15
2023-07-05,5,5,1,1,0,5,0,2,3,3
2023-07-06,3,5,3,5,5,1,0,2,0,1
2023-07-07,0,0,1,1,4,1,2,2,5,9
2023-07-08,2,3,0,4,5,3,3,4,0,1
2023-07-09,5,2,2,3,4,3,5,1,0,0
2023-07-10,4,1,1,1,1,0,5,0,5,7
2023-07-11,0,2,3,1,0,2,0,5,5,7
2023-07-12,3,5,2,4,0,2,3,3,1,2
2023-07-13,3,0,3,1,2,2,0,3,5,6
2023-07-14,2,2,5,5,2,2,2,5,0,0
2023-07-15,3,5,3,0,3,1,5,3,2,0
2023-07-16,4,2,0,5,1,0,0,4,0,9
2023-07-17,3,5,4,0,2,0,4,0,2,5
2023-07-18,2,4,5,2,1,5,2,0,4,0
2023-07-19,1,2,3,4,4,2,2,3,2,2
2023-07-20,3,1,2,1,5,1,4,2,2,4
2023-07-21,5,5,2,3,1,1,2,1,4,1
2023-07-22,4,5,1,4,1,0,1,5,3,1
2023-07-23,3,3,5,2,5,5,2,0,0,0
2023-07-24,0,2,4,1,1,0,4,0,1,12
2023-07-25,2,0,0,0,1,4,1,4,3,10
2023-07-26,2,4,2,5,2,3,4,3,0,0
2023-07-27,1,3,1,0,3,3,3,0,5,6
2023-07-28,0,2,4,3,0,1,3,5,0,7
2023-07-29,2,5,1,2,4,5,2,4,0,0
2023-07-30,2,3,5,0,5,3,5,1,0,1
2023-07-31,2,1,1,2,3,4,0,2,3,7
2023-08-01,2,0,5,3,4,2,1,0,4,4
2023-08-02,3,4,5,5,2,3,2,1,0,0
2023-08-03,5,3,0,0,5,1,2,4,3,2
2023-08-04,0,3,2,5,0,5,0,0,4,6
2023-08-05,1,2,2,1,0,1,4,1,4,9
2023-08-06,2,5,3,3,5,1,0,0,5,1
2023-08-07,2,5,5,1,0,0,5,4,2,1
2023-08-08,2,0,3,2,5,4,1,2,5,1
2023-08-09,3,2,2,2,5,1,3,2,2,3
2023-08-10,1,4,3,5,5,3,4,0,0,0
2023-08-11,3,1,2,5,4,2,4,2,2,0
2023-08-12,1,0,2,5,4,2,5,5,1,0
2023-08-13,0,3,5,2,5,3,5,0,2,0
2023-08-14,2,3,1,2,0,4,2,4,1,6
2023-08-15,3,1,1,4,3,2,0,3,3,5
2023-08-16,1,4,1,3,1,3,4,5,3,0
2023-08-17,5,2,3,1,3,5,3,1,0,2
2023-08-18,3,5,3,0,0,2,3,2,0,7
2023-08-19,0,4,4,3,3,3,3,5,0,0
2023-08-20,5,1,3,1,1,3,4,4,0,3
2023-08-21,3,4,5,1,5,3,1,3,0,0
2023-08-22,2,2,2,3,4,1,0,2,0,9
2023-08-23,2,0,1,1,4,0,4,2,4,7
2023-08-24,5,5,0,4,0,3,2,2,3,1
2023-08-25,1,4,3,5,4,2,4,2,0,0
2023-08-26,0,0,2,2,2,2,1,3,2,11
2023-08-27,2,3,5,4,5,1,5,0,0,0
2023-08-28,1,1,3,5,4,2,0,0,1,8
2023-08-29,1,2,2,5,5,2,5,2,1,0
2023-08-30,5,0,0,3,0,0,1,5,1,10
2023-08-31,2,3,5,2,4,5,2,0,1,1
2023-09-01,3,4,5,3,5,1,2,0,2,0
2023-09-02,3,5,2,1,0,1,4,1,2,6
2023-09-03,3,5,3,0,0,1,5,1,2,5
2023-09-04,5,1,1,2,4,0,0,4,1,7
2023-09-05,4,0,4,0,1,2,1,3,5,5
2023-09-06,2,2,1,3,5,0,0,1,1,10
2023-09-07,2,0,1,2,1,2,1,1,3,12
2023-09-08,0,1,0,5,1,5,5,5,2,1
2023-09-09,1,3,2,2,5,3,3,1,1,4
2023-09-10,2,1,3,3,4,0,0,4,0,8
2023-09-11,4,4,0,4,1,4,1,3,3,1
2023-09-12,5,1,2,2,0,3,4,4,2,2
2023-09-13,5,1,5,3,5,3,2,1,0,0
2023-09-14,2,1,2,5,5,5,2,3,0,0
2023-09-15,3,5,2,1,5,4,4,0,0,1
2023-09-16,2,4,3,0,5,0,0,5,2,4
2023-09-17,2,2,0,5,5,4,1,2,4,0
2023-09-18,2,0,0,2,0,2,3,3,2,11
2023-09-19,0,1,4,4,4,3,5,1,2,1
2023-09-20,1,5,5,0,2,3,2,1,4,2
2023-09-21,3,3,2,5,0,2,0,5,3,2
2023-09-22,4,4,3,3,0,1,0,5,0,5
2023-09-23,0,4,5,4,0,4,1,2,0,5
2023-09-24,4,5,0,3,3,5,5,0,0,0
2023-09-25,4,5,1,5,0,4,4,0,0,2
2023-09-26,5,4,4,0,3,4,5,0,0,0
2023-09-27,2,3,5,3,0,4,0,0,5,3
2023-09-28,0,1,4,3,1,1,0,5,0,10
2023-09-29,1,4,5,5,3,2,5,0,0,0
2023-09-30,3,4,1,5,1,1,0,1,5,4
2023-10-01,1,4,0,0,5,4,5,5,0,1
2023-10-02,3,2,3,3,1,0,5,1,1,6
2023-10-03,2,3,0,4,5,4,2,1,4,0
2023-10-04,2,0,4,4,5,4,5,1,0,0
2023-10-05,3,4,3,5,1,1,2,0,1,5
2023-10-06,4,1,1,0,0,2,3,4,5,5
