skills/dates,Linux,aws,Unix,Oracle,Python,Maven,Java,Cloud,Devops,Scrum
2023-01-30,1,2,2,7,1,4,6,2,4,9
2023-01-31,4,3,3,3,8,8,5,9,4,5
2023-02-01,4,5,7,9,4,3,6,8,7,7
2023-02-02,3,6,5,3,7,7,7,9,7,1
2023-02-03,5,5,1,2,2,5,1,7,9,1
2023-02-04,4,9,5,8,7,3,9,2,7,1
2023-02-05,1,3,1,3,6,5,3,3,6,7
2023-02-06,1,5,1,3,4,5,2,8,9,5
2023-02-07,8,9,2,6,2,3,9,6,6,3
2023-02-08,5,3,3,6,3,2,4,1,3,2
2023-02-09,7,8,2,8,6,4,5,2,3,4
2023-02-10,4,5,7,3,1,5,7,6,2,2
2023-02-11,6,5,9,7,8,5,4,9,2,1
2023-02-12,3,5,8,1,7,2,4,7,9,8
2023-02-13,1,8,2,7,8,6,5,4,3,7
2023-02-14,8,1,7,9,4,6,2,2,5,9
2023-02-15,3,7,8,7,9,8,6,8,2,8
2023-02-16,4,6,2,9,1,6,1,5,5,8
2023-02-17,6,6,8,8,1,8,9,7,5,7
2023-02-18,9,1,3,3,8,5,1,4,3,3
2023-02-19,7,4,3,2,8,7,7,6,7,1
2023-02-20,7,3,9,2,4,8,1,7,6,1
2023-02-21,3,5,5,1,6,4,1,5,1,3
2023-02-22,2,5,5,6,8,8,1,4,9,6
2023-02-23,7,3,6,8,6,5,6,9,1,6
2023-02-24,8,8,2,4,7,6,8,7,7,3
2023-02-25,7,6,8,2,5,3,1,5,1,8
2023-02-26,8,1,2,6,7,7,5,1,2,6
2023-02-27,7,2,6,7,6,9,2,2,6,1
2023-02-28,4,5,4,7,8,5,2,2,7,5
2023-03-01,5,8,1,7,7,9,8,2,2,3
2023-03-02,1,9,4,8,3,9,3,3,8,1
2023-03-03,2,7,1,4,3,1,4,9,7,7
2023-03-04,6,3,9,7,9,4,2,5,4,6
2023-03-05,1,7,5,5,8,8,4,3,6,8
2023-03-06,5,3,9,3,5,6,4,7,3,2
2023-03-07,3,8,2,6,4,4,6,7,8,6
2023-03-08,9,5,9,3,2,9,9,2,5,9
2023-03-09,9,7,1,3,9,6,8,7,9,5
2023-03-10,5,1,7,5,3,1,3,1,6,3
2023-03-11,4,8,9,9,7,1,2,2,3,5
2023-03-12,7,9,9,6,7,4,2,1,8,9
2023-03-13,4,2,8,7,7,2,4,5,7,9
2023-03-14,2,2,3,2,4,5,5,4,6,7
2023-03-15,3,6,7,8,4,9,5,3,4,9
2023-03-16,2,1,8,4,4,2,5,5,7,6
2023-03-17,5,1,6,8,9,1,8,4,7,6
2023-03-18,6,1,4,4,1,7,8,4,2,7
2023-03-19,2,2,1,2,8,1,1,8,3,8
2023-03-20,7,2,8,6,7,3,7,1,5,9
2023-03-21,6,1,9,5,5,1,6,6,6,5
2023-03-22,4,4,1,8,8,6,7,1,2,3
2023-03-23,7,4,1,4,6,9,4,7,4,8
2023-03-24,1,3,4,6,9,1,2,5,9,4
2023-03-25,9,6,9,3,7,9,7,4,1,4
2023-03-26,5,6,3,4,2,2,9,4,5,2
2023-03-27,7,4,9,4,5,5,4,6,7,4
2023-03-28,1,2,5,0,4,1,4,5,0,3
2023-03-29,1,3,0,0,2,5,0,0,2,12
2023-03-30,3,4,4,4,5,2,0,3,0,0
2023-03-31,1,4,4,0,2,5,3,3,2,1
2023-04-01,1,1,2,5,5,2,3,0,0,6
2023-04-02,1,1,3,4,1,0,4,0,4,7
2023-04-03,1,1,2,0,1,0,3,2,5,10
2023-04-04,5,2,0,1,3,2,3,1,2,6
2023-04-05,3,1,5,2,0,3,5,3,3,0
2023-04-06,5,4,1,1,5,3,1,2,2,1
2023-04-07,5,5,3,1,2,5,1,0,0,3
2023-04-08,2,4,4,5,2,3,4,0,1,0
2023-04-09,4,0,4,4,4,1,3,4,1,0
2023-04-10,3,3,2,3,2,5,0,2,3,2
2023-04-11,3,5,5,2,3,5,0,1,1,0
2023-04-12,1,0,5,2,0,5,0,1,5,6
2023-04-13,4,5,0,4,1,3,1,5,2,0
2023-04-14,4,4,2,4,4,5,1,0,0,1
2023-04-15,2,2,1,3,1,3,3,2,0,8
2023-04-16,1,4,1,3,2,0,3,2,0,9
2023-04-17,3,0,1,0,1,2,1,2,2,13
2023-04-18,2,5,4,1,3,5,4,1,0,0
2023-04-19,5,0,4,3,5,2,3,2,0,1
2023-04-20,0,3,4,3,1,1,0,1,4,8
2023-04-21,0,1,3,3,5,0,5,3,3,2
2023-04-22,2,1,3,1,4,1,2,3,5,3
2023-04-23,2,3,2,4,0,2,1,0,3,8
2023-04-24,2,4,0,0,0,5,5,4,3,2
2023-04-25,4,1,3,0,0,1,0,0,2,14
2023-04-26,0,4,2,4,2,1,2,1,3,6
2023-04-27,1,3,3,3,3,4,3,0,2,3
2023-04-28,5,4,5,4,4,2,1,0,0,0
2023-04-29,1,1,5,3,1,5,4,4,1,0
2023-04-30,4,0,2,1,5,5,0,3,0,5
2023-05-01,4,1,0,4,0,4,2,4,0,6
2023-05-02,1,3,3,0,3,3,0,5,5,2
2023-05-03,0,3,5,5,3,4,5,0,0,0
2023-05-04,4,4,4,3,0,0,3,5,0,2
2023-05-05,0,0,3,5,0,3,4,2,0,8
2023-05-06,1,4,4,1,0,5,0,5,4,1
2023-05-07,4,1,0,5,0,0,1,0,2,12
2023-05-08,2,3,4,1,1,2,3,4,0,5
2023-05-09,4,1,4,1,4,0,5,2,1,3
2023-05-10,2,1,3,3,4,2,4,0,0,6
2023-05-11,5,1,2,2,1,5,4,1,3,1
2023-05-12,0,0,4,2,0,0,2,1,4,12
2023-05-13,2,5,1,0,2,3,0,4,4,4
2023-05-14,1,0,3,2,2,5,0,5,1,6
2023-05-15,4,4,5,4,2,2,3,1,0,0
2023-05-16,4,1,5,3,2,1,2,4,2,1
2023-05-17,1,4,1,3,3,3,3,1,2,4
2023-05-18,0,4,0,1,2,3,0,5,4,6
2023-05-19,1,1,1,5,4,0,5,5,1,2
2023-05-20,3,1,1,3,2,5,3,3,4,0
2023-05-21,5,2,4,0,4,2,0,5,1,2
2023-05-22,2,3,5,1,3,3,2,0,0,6
2023-05-23,5,3,5,0,3,0,2,4,2,1
2023-05-24,5,1,3,3,3,4,4,0,1,1
2023-05-25,0,2,2,0,2,2,3,4,2,8
2023-05-26,5,1,0,1,0,4,3,3,1,7
2023-05-27,5,5,1,3,3,3,1,4,0,0
2023-05-28,2,2,1,5,5,2,1,4,1,2
2023-05-29,0,3,0,3,4,1,3,2,4,5
2023-05-30,2,1,4,2,4,3,1,3,4,1
2023-05-31,3,5,3,5,3,2,1,1,1,1
2023-06-01,1,5,1,2,0,3,3,4,2,4
2023-06-02,0,2,4,0,1,1,2,0,0,15
2023-06-03,5,0,5,2,3,4,1,4,1,0
2023-06-04,5,1,4,0,2,3,1,1,2,6
2023-06-05,3,1,2,4,5,5,1,2,1,1
2023-06-06,4,4,3,0,5,5,3,0,0,1
2023-06-07,2,4,2,0,2,1,3,0,2,9
2023-06-08,4,1,5,4,2,5,4,0,0,0
2023-06-09,5,0,0,2,0,1,0,2,1,14
2023-06-10,5,5,3,3,1,2,4,0,0,2
2023-06-11,4,4,4,2,3,1,0,3,1,3
2023-06-12,5,5,4,2,1,0,0,5,3,0
2023-06-13,3,1,1,2,4,4,1,4,5,0
2023-06-14,0,5,4,1,1,2,1,3,3,5
2023-06-15,0,0,0,1,2,1,3,3,2,13
2023-06-16,3,3,1,2,2,0,4,0,4,6
2023-06-17,4,2,4,1,0,2,0,5,5,2
2023-06-18,3,1,2,5,1,1,1,5,1,5
2023-06-19,2,3,0,3,5,1,2,0,0,9
2023-06-20,1,3,4,2,3,1,1,1,4,5
2023-06-21,1,2,3,1,3,0,2,3,5,5
2023-06-22,1,1,1,0,3,0,1,0,2,16
2023-06-23,4,3,5,1,2,3,0,0,3,4
2023-06-24,4,1,2,0,3,5,1,3,4,2
2023-06-25,4,2,0,0,4,2,5,4,1,3
2023-06-26,3,0,4,5,4,5,0,4,0,0
2023-06-27,4,0,4,0,4,1,0,0,4,8
2023-06-28,4,5,2,3,2,4,2,2,1,0
2023-06-29,0,2,3,3,0,1,5,2,2,7
2023-06-30,4,0,0,1,0,5,4,5,2,4
2023-07-01,3,2,1,1,1,3,4,1,3,6
2023-07-02,5,1,4,0,1,5,2,3,2,2
2023-07-03,1,3,2,5,1,3,2,0,2,6
2023-07-04,4,5,2,1,0,0,1,1,2,9
2023-07-05,2,0,1,5,3,2,0,5,3,4
2023-07-06,0,2,1,2,0,1,1,1,2,15
2023-07-07,4,2,5,5,5,1,1,0,2,0
2023-07-08,1,3,3,1,1,5,2,0,5,4
2023-07-09,1,5,1,1,3,2,5,3,4,0
2023-07-10,4,4,2,4,3,2,1,0,1,4
2023-07-11,5,0,0,2,3,0,0,2,1,12
2023-07-12,4,0,4,1,5,1,1,3,3,3
2023-07-13,4,5,4,5,4,2,1,0,0,0
2023-07-14,0,0,4,5,2,4,4,0,1,5
2023-07-15,2,2,2,3,1,0,0,0,2,13
2023-07-16,5,2,1,2,5,4,3,2,0,1
2023-07-17,4,1,2,1,1,3,4,0,0,9
2023-07-18,4,5,2,0,0,2,0,3,4,5
2023-07-19,3,4,4,0,3,0,4,0,5,2
2023-07-20,2,0,0,2,4,1,5,1,2,8
2023-07-21,1,2,3,3,4,0,3,5,3,1
2023-07-22,0,0,2,5,1,2,5,3,1,6
2023-07-23,2,2,0,1,2,5,1,2,4,6
2023-07-24,4,2,0,1,0,1,1,0,0,16
2023-07-25,0,2,4,2,2,1,4,1,4,5
2023-07-26,4,3,0,0,5,5,5,0,0,3
2023-07-27,1,0,0,4,0,5,5,2,2,6
2023-07-28,2,3,5,5,5,0,3,0,0,2
2023-07-29,1,5,1,3,2,0,4,5,4,0
2023-07-30,5,4,3,5,4,2,1,0,1,0
2023-07-31,4,4,2,4,5,2,1,2,0,1
2023-08-01,5,1,5,1,2,3,4,3,0,1
2023-08-02,2,3,3,1,2,3,2,0,1,8
2023-08-03,1,4,1,5,0,4,0,1,0,9
2023-08-04,4,4,3,4,3,0,4,0,3,0
2023-08-05,5,2,5,2,4,5,0,1,0,1
2023-08-06,3,4,0,0,4,4,4,5,0,1
2023-08-07,5,5,1,4,3,1,0,1,3,2
2023-08-08,1,4,5,1,3,4,3,2,0,2
2023-08-09,2,3,2,3,2,2,4,3,3,1
2023-08-10,2,2,1,3,0,2,2,5,3,5
2023-08-11,1,2,2,5,1,0,4,1,1,8
2023-08-12,2,3,5,4,3,5,2,1,0,0
2023-08-13,3,0,5,4,2,2,3,4,0,2
2023-08-14,2,1,1,5,2,3,3,1,3,4
2023-08-15,3,4,1,4,2,2,4,5,0,0
2023-08-16,3,1,4,1,5,3,1,0,4,3
2023-08-17,0,5,0,1,5,2,0,4,5,3
2023-08-18,5,3,1,5,2,1,2,0,3,3
2023-08-19,5,2,5,1,5,1,4,1,1,0
2023-08-20,5,1,0,0,2,4,1,5,2,5
2023-08-21,1,4,3,3,3,5,3,0,0,3
2023-08-22,3,0,2,3,3,0,1,1,1,11
2023-08-23,4,3,2,3,4,4,1,3,0,1
2023-08-24,1,5,4,3,1,3,1,0,4,3
2023-08-25,5,5,3,2,1,1,2,0,1,5
2023-08-26,4,0,4,5,1,1,1,2,2,5
2023-08-27,1,1,0,3,3,4,0,4,0,9
2023-08-28,0,0,2,5,5,2,0,5,5,1
2023-08-29,5,1,3,2,1,3,4,2,1,3
2023-08-30,4,0,2,2,4,3,3,5,2,0
2023-08-31,2,5,4,3,5,4,2,0,0,0
2023-09-01,2,0,2,1,5,4,1,3,2,5
2023-09-02,1,2,2,4,4,5,5,1,0,1
2023-09-03,3,4,3,1,4,5,3,0,1,1
2023-09-04,5,0,0,2,2,4,3,4,5,0
2023-09-05,1,2,0,4,5,0,5,3,1,4
2023-09-06,2,1,2,1,2,4,0,2,2,9
2023-09-07,2,2,1,3,4,0,0,5,0,8
2023-09-08,0,4,5,3,4,2,2,0,3,2
2023-09-09,4,0,0,3,3,0,2,2,3,8
2023-09-10,2,4,5,3,5,1,2,1,2,0
2023-09-11,4,1,1,0,0,4,3,0,3,9
2023-09-12,0,5,2,1,3,1,5,5,2,1
2023-09-13,0,4,4,1,2,1,3,2,0,8
2023-09-14,3,4,1,5,0,4,1,2,2,3
2023-09-15,0,5,2,1,3,4,0,1,1,8
2023-09-16,2,1,4,0,5,1,0,4,0,8
2023-09-17,1,0,2,0,2,0,1,5,4,10
2023-09-18,5,3,5,0,1,1,5,1,2,2
2023-09-19,0,2,3,3,1,4,5,5,1,1
2023-09-20,0,3,4,1,4,3,5,2,0,3
2023-09-21,5,2,1,2,1,3,5,5,0,1
2023-09-22,0,0,1,3,1,2,3,1,3,11
2023-09-23,5,1,4,2,1,5,0,4,2,1
2023-09-24,4,4,1,0,5,2,3,3,2,1
2023-09-25,0,0,1,3,1,4,5,1,2,8
2023-09-26,5,2,4,0,3,0,1,1,0,9
2023-09-27,5,5,5,0,4,3,2,0,0,1
2023-09-28,3,1,2,1,0,3,2,0,3,10
2023-09-29,4,0,0,0,4,5,3,0,1,8
2023-09-30,0,4,2,4,1,2,2,5,2,3
2023-10-01,2,4,0,1,3,4,3,1,0,7
2023-10-02,1,1,3,1,5,2,5,2,2,3
2023-10-03,5,5,2,0,3,1,4,5,0,0
2023-10-04,2,1,3,5,3,3,5,0,2,1
2023-10-05,5,1,3,5,3,1,0,3,4,0
2023-10-06,5,1,0,0,2,0,5,4,0,8
