skills/dates,Big Data,HTTP,Web Development,JavaScript,APEX,Ajax,Cyber Security,Oracle,HTML,C++
2022-12-17,9,5,1,1,4,1,1,7,5,6
2022-12-18,3,6,5,3,4,7,6,6,8,6
2022-12-19,8,6,1,1,7,2,9,9,7,7
2022-12-20,2,2,6,8,6,4,8,8,4,1
2022-12-21,5,1,5,1,8,5,2,4,1,8
2022-12-22,1,2,7,5,7,2,6,8,6,4
2022-12-23,5,3,9,4,2,2,6,6,9,6
2022-12-24,8,8,2,8,9,6,2,5,2,5
2022-12-25,7,8,1,2,2,5,6,4,9,1
2022-12-26,5,3,8,7,2,9,4,5,5,5
2022-12-27,8,8,4,6,2,2,7,8,1,8
2022-12-28,5,4,4,2,2,6,3,2,7,7
2022-12-29,5,5,7,9,7,1,4,7,2,8
2022-12-30,7,5,8,9,1,6,6,4,4,2
2022-12-31,8,6,9,4,7,7,2,9,9,4
2023-01-01,2,2,6,8,6,1,2,6,5,2
2023-01-02,6,1,3,6,5,4,6,2,4,7
2023-01-03,1,6,7,5,1,8,2,8,2,8
2023-01-04,8,3,8,2,5,7,1,8,4,5
2023-01-05,9,8,6,5,1,5,9,1,4,8
2023-01-06,2,1,2,2,8,1,1,8,5,7
2023-01-07,4,6,6,1,4,7,4,4,2,5
2023-01-08,6,6,9,8,6,6,8,2,7,6
2023-01-09,8,1,8,5,9,6,9,9,6,7
2023-01-10,8,2,1,4,3,3,5,9,9,5
2023-01-11,8,4,4,3,2,5,2,8,2,9
2023-01-12,7,9,7,8,2,6,5,2,1,4
2023-01-13,4,5,2,2,8,3,4,7,1,1
2023-01-14,5,5,6,5,1,3,7,8,6,1
2023-01-15,8,4,4,3,2,9,9,4,8,1
2023-01-16,8,6,5,4,5,1,8,4,8,5
2023-01-17,7,3,9,1,9,6,3,6,7,3
2023-01-18,8,5,6,9,6,7,5,4,3,7
2023-01-19,2,3,8,4,5,3,5,5,8,9
2023-01-20,6,9,4,7,4,6,4,8,6,3
2023-01-21,3,2,6,6,1,7,5,7,5,2
2023-01-22,6,6,5,7,7,6,4,4,7,5
2023-01-23,7,4,5,5,4,9,6,8,2,5
2023-01-24,2,4,7,7,3,6,4,7,8,2
2023-01-25,8,3,6,7,2,4,5,6,8,9
2023-01-26,4,4,9,5,8,1,4,8,3,3
2023-01-27,8,5,2,2,2,4,2,3,3,7
2023-01-28,2,6,2,9,7,5,7,5,1,5
2023-01-29,1,6,3,7,3,2,1,5,7,3
2023-01-30,2,2,3,3,5,5,5,8,6,8
2023-01-31,7,4,3,4,4,4,3,2,8,4
2023-02-01,9,8,8,3,2,8,7,6,9,3
2023-02-02,4,4,2,7,4,7,7,6,1,4
2023-02-03,7,4,5,5,3,5,3,5,7,3
2023-02-04,6,4,8,9,2,1,9,9,4,7
2023-02-05,4,5,1,6,4,7,5,8,5,9
2023-02-06,6,5,6,3,9,9,3,9,4,9
2023-02-07,7,8,5,3,2,3,9,5,4,7
2023-02-08,7,5,9,2,9,5,4,9,8,9
2023-02-09,6,8,1,9,5,7,7,5,5,1
2023-02-10,1,2,4,1,4,2,2,4,8,9
2023-02-11,8,7,9,7,8,9,5,6,6,9
2023-02-12,8,6,8,8,1,4,2,3,5,4
2023-02-13,4,9,5,9,7,5,9,9,3,4
2023-02-14,2,8,2,8,3,1,9,8,9,7
2023-02-15,8,2,6,9,6,4,1,5,1,9
2023-02-16,1,6,3,8,6,4,8,1,5,6
2023-02-17,3,4,5,4,8,5,1,6,6,7
2023-02-18,9,5,7,7,2,6,3,1,7,4
2023-02-19,8,9,7,6,3,6,4,4,1,5
2023-02-20,3,3,1,2,6,2,8,1,4,6
2023-02-21,8,4,8,3,6,9,8,4,3,5
2023-02-22,9,2,9,5,8,9,8,1,9,6
2023-02-23,6,7,3,9,5,3,6,5,7,3
2023-02-24,2,8,9,9,6,7,2,2,6,7
2023-02-25,5,1,7,1,5,9,2,5,8,6
2023-02-26,2,2,8,1,8,2,3,8,1,5
2023-02-27,2,9,8,8,4,1,8,3,4,6
2023-02-28,3,6,3,7,1,8,4,8,5,6
2023-03-01,3,1,2,7,8,1,2,8,8,5
2023-03-02,2,5,1,3,4,1,8,4,9,5
2023-03-03,3,7,5,8,3,5,4,6,2,1
2023-03-04,2,2,3,1,1,4,2,8,7,5
2023-03-05,9,7,6,1,3,9,8,9,5,2
2023-03-06,9,7,6,5,4,3,4,6,2,5
2023-03-07,8,3,6,4,2,6,9,8,4,9
2023-03-08,8,9,3,2,5,7,9,7,3,7
2023-03-09,5,9,2,1,8,2,7,4,2,4
2023-03-10,2,3,8,4,8,9,2,6,4,6
2023-03-11,6,6,9,3,3,2,4,7,5,6
2023-03-12,5,1,8,7,7,8,6,3,9,3
2023-03-13,2,3,8,3,3,2,8,5,7,4
2023-03-14,1,9,3,9,9,2,9,4,4,4
2023-03-15,8,5,8,1,4,9,2,3,2,8
2023-03-16,5,9,5,9,3,8,2,5,6,1
2023-03-17,8,2,3,3,3,9,5,4,7,2
2023-03-18,3,3,6,8,6,9,5,4,7,6
2023-03-19,5,8,8,1,3,2,6,5,8,1
2023-03-20,3,8,8,4,5,8,6,1,2,2
2023-03-21,2,4,3,6,2,5,7,9,6,4
2023-03-22,2,8,9,3,4,2,7,4,1,8
2023-03-23,7,8,2,1,9,9,8,8,9,1
2023-03-24,8,8,7,1,9,7,2,8,3,7
2023-03-25,7,7,9,1,1,2,2,3,8,6
2023-03-26,3,9,2,6,8,9,9,9,2,6
2023-03-27,4,8,6,6,6,4,3,8,2,7
2023-03-28,3,1,0,5,0,1,2,4,5,4
2023-03-29,0,0,1,2,2,0,1,3,5,11
2023-03-30,1,0,1,5,5,0,5,4,0,4
2023-03-31,5,5,2,1,3,5,2,2,0,0
2023-04-01,4,0,4,3,0,2,4,3,3,2
2023-04-02,1,3,1,2,0,0,5,2,3,8
2023-04-03,3,1,3,1,2,4,4,5,0,2
2023-04-04,2,4,0,5,2,4,4,3,1,0
2023-04-05,3,2,3,2,5,2,4,3,1,0
2023-04-06,5,2,5,5,3,4,0,1,0,0
2023-04-07,0,4,3,5,5,0,3,4,1,0
2023-04-08,1,2,2,0,4,5,0,0,2,9
2023-04-09,0,3,2,1,0,0,4,0,5,10
2023-04-10,1,4,2,2,3,0,5,1,5,2
2023-04-11,4,3,0,2,0,2,4,4,5,1
2023-04-12,1,3,2,0,1,4,5,3,3,3
2023-04-13,3,2,1,1,1,1,5,2,4,5
2023-04-14,5,3,2,0,3,3,3,5,1,0
2023-04-15,3,2,3,4,2,5,5,1,0,0
2023-04-16,4,4,5,5,5,0,2,0,0,0
2023-04-17,0,2,2,2,5,3,5,0,4,2
2023-04-18,4,5,1,2,2,2,4,0,4,1
2023-04-19,4,5,0,1,2,1,0,1,2,9
2023-04-20,4,3,5,5,3,1,3,0,1,0
2023-04-21,5,3,4,4,5,3,1,0,0,0
2023-04-22,1,0,1,3,0,5,1,0,1,13
2023-04-23,2,1,1,3,4,1,0,5,2,6
2023-04-24,1,3,1,1,4,4,2,4,1,4
2023-04-25,0,4,0,2,4,3,5,0,0,7
2023-04-26,3,5,4,3,2,0,5,1,2,0
2023-04-27,2,3,4,3,3,3,2,0,3,2
2023-04-28,0,1,3,3,2,1,2,5,2,6
2023-04-29,3,5,4,5,2,1,0,4,0,1
2023-04-30,0,4,5,1,4,3,0,0,2,6
2023-05-01,2,1,4,1,5,4,0,1,5,2
2023-05-02,1,0,3,3,1,0,3,3,1,10
2023-05-03,0,3,0,5,5,2,3,4,2,1
2023-05-04,4,3,2,5,1,1,1,3,3,2
2023-05-05,5,4,0,5,1,2,0,4,2,2
2023-05-06,2,5,2,5,3,1,2,4,0,1
2023-05-07,1,1,2,3,5,4,5,3,1,0
2023-05-08,0,5,0,2,0,4,3,4,3,4
2023-05-09,2,5,5,3,3,5,2,0,0,0
2023-05-10,3,2,2,2,2,2,0,1,4,7
2023-05-11,2,1,0,2,2,2,4,1,5,6
2023-05-12,3,5,4,4,4,3,2,0,0,0
2023-05-13,4,3,4,1,2,4,5,1,0,1
2023-05-14,0,1,2,3,3,5,0,5,1,5
2023-05-15,0,2,1,2,4,0,3,1,4,8
2023-05-16,5,3,3,5,0,2,2,4,0,1
2023-05-17,1,3,0,3,3,1,5,5,4,0
2023-05-18,4,2,3,5,5,0,4,2,0,0
2023-05-19,0,2,2,1,5,1,4,3,4,3
2023-05-20,4,1,2,2,0,3,4,4,1,4
2023-05-21,0,1,0,3,5,1,2,0,4,9
2023-05-22,0,2,1,1,3,3,3,5,2,5
2023-05-23,1,3,4,1,0,0,0,4,5,7
2023-05-24,2,5,2,0,2,3,2,1,0,8
2023-05-25,0,3,4,4,3,2,0,4,1,4
2023-05-26,2,3,3,2,5,2,1,3,4,0
2023-05-27,2,3,1,0,5,2,1,4,5,2
2023-05-28,5,4,1,4,1,4,3,3,0,0
2023-05-29,3,2,1,0,1,4,3,4,0,7
2023-05-30,3,1,3,5,2,2,1,1,0,7
2023-05-31,5,4,3,4,4,2,1,1,0,1
2023-06-01,3,0,4,3,4,1,1,1,4,4
2023-06-02,1,2,4,0,3,1,0,5,4,5
2023-06-03,4,0,1,1,0,3,5,1,2,8
2023-06-04,0,5,4,4,3,4,4,1,0,0
2023-06-05,3,1,3,5,0,1,5,3,3,1
2023-06-06,4,3,1,1,0,1,4,0,1,10
2023-06-07,0,0,0,3,3,0,1,5,1,12
2023-06-08,4,4,0,5,3,1,0,0,3,5
2023-06-09,5,5,4,4,0,0,4,2,0,1
2023-06-10,5,0,2,3,4,0,0,0,3,8
2023-06-11,4,2,2,5,0,1,1,0,3,7
2023-06-12,5,5,2,3,1,4,4,0,0,1
2023-06-13,3,3,1,2,1,4,4,3,0,4
2023-06-14,5,2,4,4,5,0,4,0,0,1
2023-06-15,3,0,0,5,0,4,0,3,3,7
2023-06-16,0,0,3,0,0,3,0,5,1,13
2023-06-17,5,3,4,3,3,3,1,1,0,2
2023-06-18,4,4,5,3,2,3,1,3,0,0
2023-06-19,2,0,3,5,0,1,0,0,3,11
2023-06-20,4,4,0,0,5,1,2,4,5,0
2023-06-21,3,5,1,1,4,1,2,0,1,7
2023-06-22,1,2,3,3,2,1,4,1,4,4
2023-06-23,0,1,0,5,4,1,1,2,2,9
2023-06-24,1,3,0,2,5,1,1,3,0,9
2023-06-25,5,1,0,0,1,4,1,5,5,3
2023-06-26,5,4,0,5,0,1,3,4,2,1
2023-06-27,2,2,0,2,5,1,4,5,3,1
2023-06-28,0,5,0,3,2,5,1,5,1,3
2023-06-29,4,1,5,4,4,5,2,0,0,0
2023-06-30,4,1,5,3,4,2,1,4,1,0
2023-07-01,0,0,4,5,3,4,0,2,5,2
2023-07-02,2,4,0,0,2,1,2,3,4,7
2023-07-03,1,4,2,3,0,4,0,0,2,9
2023-07-04,2,3,0,4,5,1,4,5,0,1
2023-07-05,1,1,1,3,3,3,5,1,5,2
2023-07-06,2,2,1,3,3,2,0,0,5,7
2023-07-07,2,1,5,2,3,5,1,0,5,1
2023-07-08,2,4,2,3,4,1,1,3,2,3
2023-07-09,4,1,3,3,5,0,3,4,0,2
2023-07-10,0,3,3,0,0,0,0,5,0,14
2023-07-11,2,4,2,2,3,4,4,1,0,3
2023-07-12,0,0,3,1,1,1,5,4,2,8
2023-07-13,0,0,3,3,2,5,5,1,0,6
2023-07-14,1,4,0,4,2,4,0,5,5,0
2023-07-15,3,5,2,2,4,2,5,0,0,2
2023-07-16,3,3,0,1,5,3,0,1,0,9
2023-07-17,5,0,1,5,1,3,3,4,3,0
2023-07-18,1,2,1,4,3,1,2,4,3,4
2023-07-19,1,0,3,1,3,0,2,1,0,14
2023-07-20,5,3,4,5,5,1,0,0,1,1
2023-07-21,3,2,4,2,1,4,2,0,5,2
2023-07-22,1,2,0,0,2,5,4,3,5,3
2023-07-23,5,5,1,4,2,0,1,2,1,4
2023-07-24,2,4,5,1,4,2,5,1,0,1
2023-07-25,0,4,5,2,1,4,1,1,4,3
2023-07-26,5,0,2,4,0,2,1,4,4,3
2023-07-27,3,4,5,2,2,3,1,2,2,1
2023-07-28,0,1,0,1,5,2,5,5,4,2
2023-07-29,1,4,3,5,3,2,0,1,0,6
2023-07-30,5,1,0,4,3,4,0,1,4,3
2023-07-31,3,2,4,1,4,1,5,4,1,0
2023-08-01,2,2,1,4,2,2,0,4,0,8
2023-08-02,3,1,2,3,0,3,4,0,2,7
2023-08-03,0,0,2,5,4,2,5,2,5,0
2023-08-04,0,5,5,1,2,2,1,1,2,6
2023-08-05,3,2,3,0,3,3,4,4,0,3
2023-08-06,2,4,4,1,4,3,0,3,2,2
2023-08-07,4,2,3,1,4,3,2,1,5,0
2023-08-08,2,1,0,0,3,5,3,1,3,7
2023-08-09,2,5,4,4,4,1,4,1,0,0
2023-08-10,3,0,2,1,5,2,3,5,1,3
2023-08-11,0,3,3,2,0,1,3,0,1,12
2023-08-12,2,4,1,4,0,5,3,1,5,0
2023-08-13,0,5,1,1,0,5,4,0,5,4
2023-08-14,4,5,4,2,0,2,0,3,2,3
2023-08-15,1,5,3,0,1,4,0,4,5,2
2023-08-16,2,3,2,1,1,2,3,3,4,4
2023-08-17,1,3,5,2,2,5,1,2,0,4
2023-08-18,0,4,5,2,5,3,2,2,0,2
2023-08-19,2,5,5,4,3,1,3,0,0,2
2023-08-20,4,3,5,0,3,4,2,3,0,1
2023-08-21,0,4,3,0,2,1,0,5,1,9
2023-08-22,4,0,0,0,3,2,3,5,0,8
2023-08-23,3,5,0,4,2,4,1,0,0,6
2023-08-24,4,2,1,4,5,5,2,1,0,1
2023-08-25,1,5,4,0,2,4,4,5,0,0
2023-08-26,4,1,5,0,2,4,0,2,4,3
2023-08-27,4,0,3,2,0,3,3,4,5,1
2023-08-28,5,2,2,1,3,2,5,5,0,0
2023-08-29,0,5,5,1,5,1,2,0,2,4
2023-08-30,0,1,3,2,2,0,5,2,5,5
2023-08-31,4,4,3,1,2,2,4,5,0,0
2023-09-01,4,4,2,2,0,0,1,3,0,9
2023-09-02,3,2,5,0,3,5,3,2,2,0
2023-09-03,2,2,3,4,4,5,3,0,2,0
2023-09-04,1,4,5,3,1,0,3,5,3,0
2023-09-05,0,3,1,5,5,5,5,1,0,0
2023-09-06,3,3,5,5,3,5,1,0,0,0
2023-09-07,2,4,1,5,5,4,3,0,0,1
2023-09-08,1,4,5,3,4,1,2,5,0,0
2023-09-09,1,3,2,3,4,4,0,0,1,7
2023-09-10,5,3,2,0,3,3,0,5,4,0
2023-09-11,0,0,0,3,0,2,5,1,2,12
2023-09-12,1,3,5,3,3,0,1,1,4,4
2023-09-13,4,2,2,3,3,0,4,5,0,2
2023-09-14,1,4,0,3,3,0,5,3,1,5
2023-09-15,3,0,3,5,1,2,2,1,2,6
2023-09-16,5,3,0,3,3,1,1,1,4,4
2023-09-17,4,1,3,5,3,4,1,3,1,0
2023-09-18,3,2,0,1,5,4,4,2,2,2
2023-09-19,2,1,1,0,3,3,0,1,0,14
2023-09-20,4,2,4,2,2,5,3,1,1,1
2023-09-21,3,2,0,2,3,0,1,1,5,8
2023-09-22,3,3,1,2,0,4,0,4,0,8
2023-09-23,3,0,0,4,4,1,0,1,5,7
2023-09-24,4,3,2,0,5,2,3,3,1,2
2023-09-25,1,4,3,5,0,0,0,0,1,11
2023-09-26,3,5,5,5,0,0,3,3,1,0
2023-09-27,0,3,0,1,3,3,1,2,3,9
2023-09-28,1,2,1,0,2,4,3,0,1,11
2023-09-29,0,2,1,5,4,4,2,3,4,0
2023-09-30,1,3,1,5,5,1,3,1,3,2
2023-10-01,3,3,1,2,2,0,2,2,2,8
2023-10-02,1,5,2,0,5,2,1,4,1,4
2023-10-03,3,3,3,4,0,3,3,2,3,1
2023-10-04,2,0,3,3,2,5,0,3,4,3
2023-10-05,2,2,5,1,2,2,3,2,5,1
2023-10-06,2,4,0,5,0,2,1,5,4,2
