skills/dates,cloud computing,SQL,MongoDB,Javascript,Python,Azure,Ux Design,NodeJS,Agile,AWS
2023-03-19,7,4,8,4,2,6,6,9,7,7
2023-03-20,4,4,3,8,2,7,6,6,5,4
2023-03-21,8,7,2,9,6,2,3,4,6,8
2023-03-22,2,6,5,4,3,1,3,1,6,4
2023-03-23,1,9,6,6,7,3,6,2,1,1
2023-03-24,4,9,2,5,7,2,4,4,2,5
2023-03-25,1,2,3,7,1,5,3,1,5,2
2023-03-26,1,6,9,1,7,9,5,2,6,7
2023-03-27,2,1,2,7,5,9,1,7,6,3
2023-03-28,4,0,2,4,1,4,1,1,3,5
2023-03-29,5,3,4,1,5,3,0,1,1,2
2023-03-30,5,1,5,5,5,0,0,2,0,2
2023-03-31,0,4,4,2,0,1,3,4,4,3
2023-04-01,1,1,0,4,0,4,4,5,4,2
2023-04-02,4,3,0,3,3,2,3,3,3,1
2023-04-03,1,2,2,5,2,2,5,1,0,5
2023-04-04,5,0,0,3,3,1,4,1,0,8
2023-04-05,3,4,3,5,0,1,4,4,1,0
2023-04-06,3,1,2,5,4,5,3,0,2,0
2023-04-07,0,3,5,4,4,1,3,5,0,0
2023-04-08,1,1,4,3,3,5,4,1,2,1
2023-04-09,2,3,4,1,4,3,4,4,0,0
2023-04-10,3,5,1,3,4,0,4,0,4,1
2023-04-11,2,2,0,3,2,1,1,0,5,9
2023-04-12,3,2,3,4,4,4,0,1,0,4
2023-04-13,3,1,2,5,3,3,5,3,0,0
2023-04-14,4,5,2,3,0,5,4,2,0,0
2023-04-15,2,4,5,4,4,2,3,1,0,0
2023-04-16,0,2,0,5,2,2,3,1,0,10
2023-04-17,3,2,2,1,0,3,3,0,4,7
2023-04-18,3,0,2,1,4,1,1,4,1,8
2023-04-19,1,3,3,1,1,5,1,1,0,9
2023-04-20,3,5,1,2,5,5,2,1,0,1
2023-04-21,5,1,0,4,3,3,1,3,0,5
2023-04-22,3,3,2,1,4,3,1,3,2,3
2023-04-23,4,4,1,1,5,5,4,1,0,0
2023-04-24,3,5,1,3,2,2,0,3,1,5
2023-04-25,0,5,3,4,0,5,0,2,4,2
2023-04-26,1,0,3,3,0,5,3,4,4,2
2023-04-27,3,5,5,5,2,4,1,0,0,0
2023-04-28,3,4,2,1,0,3,0,4,0,8
2023-04-29,5,3,0,0,4,3,0,3,1,6
2023-04-30,3,2,3,3,4,3,5,1,1,0
2023-05-01,3,0,3,5,5,4,1,4,0,0
2023-05-02,2,4,3,3,5,2,3,0,1,2
2023-05-03,4,0,4,4,1,5,3,3,0,1
2023-05-04,4,2,5,1,5,2,3,1,2,0
2023-05-05,4,2,1,2,4,4,3,1,1,3
2023-05-06,1,2,3,3,4,5,4,2,0,1
2023-05-07,5,0,3,4,1,5,4,0,3,0
2023-05-08,0,4,2,2,1,1,4,2,5,4
2023-05-09,3,2,0,0,1,5,3,3,3,5
2023-05-10,2,0,1,4,2,0,1,0,4,11
2023-05-11,3,0,3,1,2,4,5,1,4,2
2023-05-12,3,0,2,3,0,2,1,1,2,11
2023-05-13,3,1,0,4,2,2,4,0,5,4
2023-05-14,0,5,1,1,4,0,0,0,0,14
2023-05-15,5,2,0,2,5,4,2,2,0,3
2023-05-16,1,0,0,4,4,2,0,4,4,6
2023-05-17,5,2,5,4,0,1,1,4,1,2
2023-05-18,4,2,3,3,0,1,3,3,5,1
2023-05-19,3,5,5,0,3,4,1,2,0,2
2023-05-20,2,4,1,2,4,2,3,5,0,2
2023-05-21,1,4,5,1,4,2,0,2,2,4
2023-05-22,0,0,1,5,0,2,3,0,2,12
2023-05-23,2,5,2,4,0,1,4,1,3,3
2023-05-24,0,0,2,1,2,4,5,5,3,3
2023-05-25,2,5,2,1,0,2,5,4,0,4
2023-05-26,2,5,0,4,0,4,4,2,0,4
2023-05-27,3,3,1,1,1,4,4,0,3,5
2023-05-28,0,4,1,4,4,5,2,4,0,1
2023-05-29,5,3,5,0,4,2,3,2,0,1
2023-05-30,5,0,2,5,2,2,0,2,4,3
2023-05-31,1,2,4,4,2,5,3,0,2,2
2023-06-01,0,0,2,4,4,4,2,4,5,0
2023-06-02,4,5,5,5,1,2,0,3,0,0
2023-06-03,4,4,3,3,5,5,0,1,0,0
2023-06-04,2,2,4,2,3,3,5,2,2,0
2023-06-05,0,2,1,3,3,5,4,2,1,4
2023-06-06,3,5,5,3,2,5,2,0,0,0
2023-06-07,2,0,0,0,0,2,2,2,3,14
2023-06-08,3,2,3,3,1,2,2,5,4,0
2023-06-09,3,0,1,2,5,2,3,4,1,4
2023-06-10,4,3,1,3,4,5,3,1,0,1
2023-06-11,5,0,1,4,3,5,5,0,2,0
2023-06-12,2,1,5,0,5,2,3,4,3,0
2023-06-13,4,1,1,1,0,5,1,5,4,3
2023-06-14,5,5,4,4,0,4,2,0,1,0
2023-06-15,5,4,1,5,0,4,4,1,0,1
2023-06-16,1,3,2,3,4,3,1,4,3,1
2023-06-17,0,2,2,1,2,3,1,1,4,9
2023-06-18,5,1,3,4,1,3,2,4,0,2
2023-06-19,2,0,1,0,3,5,4,2,1,7
2023-06-20,4,1,2,2,3,2,3,3,0,5
2023-06-21,3,1,4,2,4,3,3,5,0,0
2023-06-22,2,2,4,2,2,2,2,5,4,0
2023-06-23,2,0,2,1,0,4,3,1,0,12
2023-06-24,4,3,0,5,1,0,5,2,2,3
2023-06-25,1,3,4,3,1,4,5,1,3,0
2023-06-26,0,1,4,1,3,2,2,3,5,4
2023-06-27,5,1,5,2,5,1,4,0,2,0
2023-06-28,4,5,5,1,5,0,4,1,0,0
2023-06-29,2,2,2,0,2,4,4,2,4,3
2023-06-30,1,2,5,3,2,2,4,3,1,2
2023-07-01,5,0,2,0,3,2,5,0,0,8
2023-07-02,5,3,4,5,2,3,2,0,1,0
2023-07-03,5,5,4,1,1,4,3,1,1,0
2023-07-04,3,4,1,2,1,3,2,2,1,6
2023-07-05,1,1,5,5,4,0,0,5,2,2
2023-07-06,2,5,2,5,4,1,5,1,0,0
2023-07-07,0,5,4,3,5,5,1,1,0,1
2023-07-08,4,1,4,5,0,2,1,3,0,5
2023-07-09,5,2,4,2,2,2,2,4,0,2
2023-07-10,2,3,5,4,2,5,3,1,0,0
2023-07-11,1,1,0,0,4,1,1,2,5,10
2023-07-12,2,5,3,5,4,0,5,0,1,0
2023-07-13,1,0,4,0,5,1,0,4,2,8
2023-07-14,5,5,1,0,1,2,0,5,5,1
2023-07-15,0,3,5,4,0,1,0,4,1,7
2023-07-16,3,4,4,3,4,5,0,0,2,0
2023-07-17,2,4,0,4,3,2,4,2,4,0
2023-07-18,3,2,5,1,2,1,1,2,0,8
2023-07-19,5,5,0,0,3,5,1,3,0,3
2023-07-20,3,0,2,4,3,3,3,4,2,1
2023-07-21,3,2,4,0,3,0,2,0,5,6
2023-07-22,5,2,0,2,2,2,1,2,5,4
2023-07-23,1,4,2,5,3,0,4,2,4,0
2023-07-24,2,2,2,0,3,4,0,1,4,7
2023-07-25,5,0,5,4,5,2,4,0,0,0
2023-07-26,1,4,0,5,0,5,2,5,1,2
2023-07-27,3,1,4,5,3,2,3,1,3,0
2023-07-28,1,0,0,1,3,3,5,1,0,11
2023-07-29,1,0,5,2,4,3,0,0,1,9
2023-07-30,2,0,0,2,1,4,3,3,3,7
2023-07-31,5,5,1,1,4,3,1,1,2,2
2023-08-01,1,2,2,3,0,0,5,0,2,10
2023-08-02,0,5,2,4,0,0,1,0,0,13
2023-08-03,3,3,3,2,2,5,1,1,5,0
2023-08-04,1,2,0,0,1,3,4,2,5,7
2023-08-05,4,1,0,4,2,2,4,5,2,1
2023-08-06,3,5,3,3,3,0,1,2,3,2
2023-08-07,2,4,5,0,1,5,3,2,0,3
2023-08-08,0,2,0,5,2,3,3,0,1,9
2023-08-09,4,4,1,3,0,1,5,1,2,4
2023-08-10,5,4,5,0,0,0,3,5,2,1
2023-08-11,0,2,5,1,0,4,0,2,1,10
2023-08-12,5,5,1,2,1,1,2,5,1,2
2023-08-13,1,3,1,4,1,1,3,0,5,6
2023-08-14,2,5,2,4,1,4,2,2,0,3
2023-08-15,5,5,3,2,4,1,3,1,0,1
2023-08-16,1,2,2,0,4,2,5,4,3,2
2023-08-17,0,2,4,0,3,4,2,2,0,8
2023-08-18,5,0,3,5,1,5,5,0,0,1
2023-08-19,4,4,2,0,3,3,5,2,2,0
2023-08-20,4,2,1,2,0,1,1,4,3,7
2023-08-21,2,4,1,4,3,5,0,3,0,3
2023-08-22,0,4,2,4,3,2,1,3,4,2
2023-08-23,2,3,5,3,3,3,2,2,0,2
2023-08-24,5,5,5,2,0,1,5,0,1,1
2023-08-25,0,5,5,1,2,2,2,1,0,7
2023-08-26,0,0,4,4,5,3,3,4,0,2
2023-08-27,0,5,0,2,1,4,1,5,0,7
2023-08-28,1,0,0,4,4,3,3,5,3,2
2023-08-29,0,1,4,2,3,1,1,2,2,9
2023-08-30,2,4,4,2,4,4,1,3,1,0
2023-08-31,0,2,5,5,5,5,1,0,1,1
2023-09-01,5,3,3,2,0,1,5,1,0,5
2023-09-02,4,0,5,5,4,1,0,4,2,0
2023-09-03,5,2,2,1,1,1,5,1,2,5
2023-09-04,4,4,2,1,5,4,1,3,1,0
2023-09-05,0,4,1,2,1,4,5,2,3,3
2023-09-06,5,0,2,3,4,1,0,1,0,9
2023-09-07,0,0,2,5,4,3,4,1,4,2
2023-09-08,3,1,1,5,2,0,0,5,4,4
2023-09-09,3,1,5,1,1,2,4,5,2,1
2023-09-10,5,3,5,5,3,2,0,0,1,1
2023-09-11,2,0,2,5,3,1,5,0,4,3
2023-09-12,0,3,2,2,2,3,1,5,5,2
2023-09-13,1,1,1,1,0,0,5,5,1,10
2023-09-14,3,0,4,0,2,2,3,1,1,9
2023-09-15,5,1,0,3,1,5,4,4,0,2
2023-09-16,1,1,0,4,1,5,1,0,3,9
2023-09-17,2,2,1,3,1,3,3,4,2,4
2023-09-18,1,0,4,1,5,3,3,0,1,7
2023-09-19,2,5,4,4,3,0,0,0,2,5
2023-09-20,1,0,0,2,2,5,0,5,1,9
2023-09-21,0,5,4,1,4,2,3,3,1,2
2023-09-22,2,5,4,5,1,4,2,0,1,1
2023-09-23,4,2,3,0,1,5,5,2,0,3
2023-09-24,4,4,2,2,0,0,4,2,0,7
2023-09-25,3,1,1,3,5,3,0,2,5,2
2023-09-26,1,5,5,4,2,2,0,1,4,1
2023-09-27,2,3,2,4,4,2,0,0,2,6
2023-09-28,5,4,0,1,2,3,1,2,1,6
2023-09-29,1,5,4,3,0,1,3,5,0,3
2023-09-30,2,1,0,5,5,0,5,0,4,3
2023-10-01,3,2,4,3,3,1,1,1,4,3
2023-10-02,2,4,0,4,4,3,4,0,1,3
2023-10-03,1,1,4,0,2,0,4,4,2,7
2023-10-04,5,4,5,4,5,1,1,0,0,0
2023-10-05,3,1,4,3,2,1,2,3,4,2
2023-10-06,1,5,5,4,3,0,2,4,0,1
