skills/dates,ERP,Excel,Data Analysis,Rostering,Budgeting,CGI,Macros,MIS,MS Office,data analysis
2023-01-02,2,2,7,4,7,6,1,9,8,2
2023-01-03,6,7,5,5,6,1,5,2,8,3
2023-01-04,1,1,8,1,2,7,4,9,4,4
2023-01-05,7,5,6,8,3,4,9,2,7,8
2023-01-06,8,4,6,1,2,3,9,8,2,9
2023-01-07,1,1,8,8,9,2,6,2,2,9
2023-01-08,3,7,8,1,9,4,6,9,7,2
2023-01-09,5,6,8,2,5,6,1,1,4,3
2023-01-10,3,4,9,9,8,1,1,4,5,8
2023-01-11,4,1,5,4,2,4,9,9,9,7
2023-01-12,6,9,3,7,8,8,6,9,6,9
2023-01-13,7,6,5,3,3,6,7,6,9,7
2023-01-14,9,8,8,6,9,4,8,6,6,4
2023-01-15,5,9,7,5,5,2,7,4,3,9
2023-01-16,4,7,3,5,4,6,8,1,7,3
2023-01-17,4,9,7,2,7,2,7,9,1,7
2023-01-18,5,1,2,2,4,5,1,8,3,5
2023-01-19,5,9,2,9,4,8,2,3,6,9
2023-01-20,7,1,9,9,2,6,8,6,9,6
2023-01-21,2,2,5,8,5,8,5,5,5,9
2023-01-22,6,5,7,6,6,6,2,6,8,6
2023-01-23,1,4,5,5,2,8,6,3,2,6
2023-01-24,8,1,8,4,2,1,4,8,7,5
2023-01-25,2,1,5,9,1,3,2,5,4,1
2023-01-26,1,6,9,2,4,6,7,7,9,8
2023-01-27,2,3,3,8,4,7,8,1,5,8
2023-01-28,2,5,3,1,4,6,7,5,1,9
2023-01-29,7,1,6,7,6,8,1,6,8,4
2023-01-30,8,6,9,8,7,5,3,6,7,7
2023-01-31,4,9,6,5,9,2,9,3,5,6
2023-02-01,7,6,2,2,8,1,6,5,8,9
2023-02-02,7,4,1,2,3,8,6,1,3,6
2023-02-03,7,5,5,1,7,2,7,6,8,4
2023-02-04,2,1,5,9,1,1,2,6,7,6
2023-02-05,8,6,7,6,6,1,2,8,1,9
2023-02-06,9,2,3,3,4,9,9,1,2,5
2023-02-07,2,3,6,7,1,1,6,3,7,5
2023-02-08,6,2,1,2,2,7,9,3,2,4
2023-02-09,6,3,1,5,6,9,1,9,8,8
2023-02-10,3,4,6,6,1,3,6,2,4,4
2023-02-11,4,6,6,2,3,3,9,3,6,1
2023-02-12,2,5,6,6,3,8,5,6,6,6
2023-02-13,5,5,5,4,4,8,6,1,1,3
2023-02-14,1,9,4,6,9,3,7,2,9,9
2023-02-15,7,2,9,8,5,1,1,3,8,4
2023-02-16,2,7,5,3,7,4,7,9,2,7
2023-02-17,6,8,4,1,9,5,9,1,5,5
2023-02-18,2,6,3,3,3,1,9,1,4,9
2023-02-19,8,5,4,4,3,7,8,9,9,3
2023-02-20,3,2,9,8,4,9,5,2,9,9
2023-02-21,1,6,9,1,4,1,1,9,4,6
2023-02-22,1,4,5,1,4,2,9,5,7,8
2023-02-23,9,8,3,5,3,7,7,4,2,8
2023-02-24,7,5,3,1,6,9,3,5,2,7
2023-02-25,4,5,3,1,2,1,5,9,8,3
2023-02-26,8,7,7,4,4,6,2,3,2,4
2023-02-27,3,4,4,9,7,4,9,2,4,6
2023-02-28,7,4,8,2,6,6,9,2,3,3
2023-03-01,5,7,8,9,1,8,5,2,7,9
2023-03-02,3,7,3,5,6,1,5,8,9,8
2023-03-03,2,7,4,8,7,2,1,3,3,9
2023-03-04,7,8,2,8,1,6,2,1,5,9
2023-03-05,1,3,1,4,4,1,8,1,8,9
2023-03-06,4,6,4,6,2,9,5,2,1,9
2023-03-07,4,3,6,6,3,7,2,3,7,9
2023-03-08,7,9,2,4,1,4,4,3,6,4
2023-03-09,7,5,7,5,6,9,5,2,3,8
2023-03-10,3,9,5,9,4,1,3,4,3,2
2023-03-11,2,1,5,9,3,7,2,2,6,8
2023-03-12,7,6,7,4,2,7,7,4,8,1
2023-03-13,8,5,7,3,8,7,4,8,3,1
2023-03-14,3,8,7,7,4,9,8,4,7,1
2023-03-15,1,6,8,8,7,1,4,6,8,1
2023-03-16,1,7,5,6,4,4,4,8,7,3
2023-03-17,2,6,2,3,9,4,9,6,5,1
2023-03-18,7,5,6,9,3,7,9,6,1,4
2023-03-19,6,6,4,9,5,4,3,1,3,7
2023-03-20,4,1,1,5,1,9,6,8,4,9
2023-03-21,1,2,1,3,5,6,2,6,8,6
2023-03-22,1,1,2,2,3,9,4,6,6,7
2023-03-23,9,8,7,4,4,6,3,8,6,3
2023-03-24,6,3,4,7,8,6,8,2,8,2
2023-03-25,3,1,9,8,1,2,8,4,3,4
2023-03-26,2,4,4,2,5,4,5,7,6,5
2023-03-27,1,5,1,3,5,5,2,8,1,9
2023-03-28,0,5,5,1,3,5,0,5,1,0
2023-03-29,1,3,4,5,2,0,1,5,3,1
2023-03-30,1,3,5,5,3,0,4,2,0,2
2023-03-31,4,0,1,0,3,5,1,1,2,8
2023-04-01,2,0,5,3,1,1,1,5,5,2
2023-04-02,2,2,1,0,0,1,3,5,4,7
2023-04-03,0,3,1,4,4,3,0,5,5,0
2023-04-04,4,5,0,1,3,5,0,3,3,1
2023-04-05,1,5,3,2,4,2,5,3,0,0
2023-04-06,1,5,2,0,0,3,5,2,3,4
2023-04-07,3,4,1,0,3,0,0,4,5,5
2023-04-08,4,4,0,0,1,2,0,2,1,11
2023-04-09,3,0,3,5,5,1,2,5,1,0
2023-04-10,2,4,1,5,4,2,4,1,1,1
2023-04-11,1,5,2,5,5,2,3,0,2,0
2023-04-12,0,5,3,1,2,2,2,2,3,5
2023-04-13,3,5,1,4,4,0,2,0,2,4
2023-04-14,3,5,3,0,4,1,5,4,0,0
2023-04-15,3,5,1,5,3,4,1,0,1,2
2023-04-16,4,1,2,5,0,4,5,3,1,0
2023-04-17,5,4,5,0,1,0,2,4,0,4
2023-04-18,0,1,2,1,0,3,0,1,1,16
2023-04-19,1,0,4,2,4,2,0,1,3,8
2023-04-20,3,5,1,4,4,0,3,0,4,1
2023-04-21,0,4,1,3,4,4,5,2,1,1
2023-04-22,3,0,3,4,2,1,5,0,2,5
2023-04-23,3,0,5,0,1,5,5,2,2,2
2023-04-24,5,3,1,5,5,4,2,0,0,0
2023-04-25,5,4,0,0,1,0,2,2,1,10
2023-04-26,2,2,1,2,1,3,5,2,0,7
2023-04-27,4,4,5,1,3,5,1,0,1,1
2023-04-28,0,5,0,4,2,5,1,1,4,3
2023-04-29,0,5,5,1,4,1,1,3,2,3
2023-04-30,2,0,4,3,4,1,3,2,3,3
2023-05-01,3,5,1,3,0,2,1,5,0,5
2023-05-02,3,4,4,0,1,1,5,0,2,5
2023-05-03,3,0,2,2,1,5,3,0,4,5
2023-05-04,1,2,1,5,4,3,5,2,1,1
2023-05-05,3,3,4,2,1,1,2,1,5,3
2023-05-06,0,5,0,5,3,2,2,5,1,2
2023-05-07,5,5,5,5,0,4,1,0,0,0
2023-05-08,1,5,1,3,0,0,0,3,4,8
2023-05-09,1,2,5,0,0,1,0,1,2,13
2023-05-10,1,4,3,0,3,2,5,0,4,3
2023-05-11,3,1,1,3,5,5,0,3,1,3
2023-05-12,1,2,3,0,0,1,2,1,1,14
2023-05-13,0,3,0,3,1,1,5,2,2,8
2023-05-14,4,0,5,3,0,4,4,3,2,0
2023-05-15,2,0,5,3,3,2,5,0,1,4
2023-05-16,1,4,1,2,5,1,1,5,5,0
2023-05-17,1,3,5,0,4,2,0,1,4,5
2023-05-18,0,5,1,5,3,4,1,4,1,1
2023-05-19,4,0,3,4,3,5,1,1,1,3
2023-05-20,1,4,5,1,5,2,5,0,2,0
2023-05-21,4,0,1,4,1,2,0,4,3,6
2023-05-22,3,1,5,1,2,0,4,2,4,3
2023-05-23,5,0,0,0,1,2,4,4,1,8
2023-05-24,4,1,1,5,1,3,1,2,1,6
2023-05-25,4,4,0,4,3,5,2,3,0,0
2023-05-26,4,3,4,1,4,2,3,0,3,1
2023-05-27,4,4,5,4,5,2,0,1,0,0
2023-05-28,1,3,2,5,5,0,2,5,1,1
2023-05-29,5,3,5,0,1,3,5,3,0,0
2023-05-30,5,4,5,2,5,0,1,3,0,0
2023-05-31,4,1,0,2,0,5,1,2,4,6
2023-06-01,4,1,3,2,3,3,1,1,4,3
2023-06-02,3,1,2,2,0,0,4,0,3,10
2023-06-03,2,5,3,2,3,0,4,4,1,1
2023-06-04,1,3,4,1,5,1,3,5,0,2
2023-06-05,4,2,3,1,3,5,2,0,4,1
2023-06-06,1,5,2,4,3,1,0,2,4,3
2023-06-07,1,0,3,1,0,2,4,1,3,10
2023-06-08,4,3,0,3,3,0,1,2,3,6
2023-06-09,0,1,5,1,3,4,2,2,3,4
2023-06-10,5,5,2,2,0,3,2,2,3,1
2023-06-11,0,1,5,5,5,1,4,2,2,0
2023-06-12,5,3,3,0,0,0,5,0,5,4
2023-06-13,0,1,0,1,4,1,0,3,1,14
2023-06-14,3,3,3,5,2,4,5,0,0,0
2023-06-15,0,0,0,4,0,1,0,3,3,14
2023-06-16,3,2,0,0,0,3,2,5,3,7
2023-06-17,0,5,1,0,1,2,4,4,2,6
2023-06-18,3,2,1,3,0,0,4,3,2,7
2023-06-19,1,4,0,5,1,0,5,2,4,3
2023-06-20,5,3,4,2,3,4,1,3,0,0
2023-06-21,2,2,0,3,2,0,2,4,2,8
2023-06-22,0,5,4,3,4,3,1,1,4,0
2023-06-23,1,4,3,3,4,1,0,5,4,0
2023-06-24,4,4,2,1,1,0,0,1,2,10
2023-06-25,3,1,3,2,1,3,4,5,0,3
2023-06-26,4,1,5,0,2,4,4,1,2,2
2023-06-27,5,2,3,3,0,5,0,2,4,1
2023-06-28,0,1,4,3,5,5,0,2,2,3
2023-06-29,2,5,5,3,3,4,3,0,0,0
2023-06-30,0,3,1,0,3,5,3,3,4,3
2023-07-01,1,1,1,0,5,4,1,2,4,6
2023-07-02,1,2,0,2,5,2,3,2,2,6
2023-07-03,1,3,4,3,2,0,0,1,3,8
2023-07-04,5,5,5,0,4,0,2,2,2,0
2023-07-05,4,2,2,5,5,1,3,2,1,0
2023-07-06,4,3,0,1,5,5,4,3,0,0
2023-07-07,4,2,5,5,2,4,0,1,1,1
2023-07-08,4,2,1,3,3,3,4,1,3,1
2023-07-09,0,1,0,1,0,2,2,4,0,15
2023-07-10,1,2,5,5,3,0,1,5,0,3
2023-07-11,5,2,2,5,1,3,5,2,0,0
2023-07-12,1,0,3,2,1,1,3,1,0,13
2023-07-13,2,1,3,5,4,0,5,1,3,1
2023-07-14,3,3,1,2,4,0,4,2,3,3
2023-07-15,3,0,4,5,5,0,3,3,1,1
2023-07-16,0,0,3,4,5,4,5,1,2,1
2023-07-17,3,2,4,4,3,5,1,2,1,0
2023-07-18,3,4,4,5,2,5,0,1,0,1
2023-07-19,2,0,4,3,1,2,4,3,2,4
2023-07-20,2,1,5,4,3,0,5,5,0,0
2023-07-21,4,5,5,2,0,5,4,0,0,0
2023-07-22,2,0,2,3,0,4,5,2,3,4
2023-07-23,2,5,1,5,4,5,2,0,1,0
2023-07-24,1,2,5,1,1,2,0,2,1,10
2023-07-25,2,5,4,3,5,3,1,1,0,1
2023-07-26,3,4,3,1,5,1,1,2,3,2
2023-07-27,5,5,1,1,1,2,4,1,1,4
2023-07-28,4,3,5,4,4,1,0,3,1,0
2023-07-29,3,0,0,1,2,4,1,3,0,11
2023-07-30,0,4,5,4,5,3,3,1,0,0
2023-07-31,0,4,4,4,0,2,2,2,2,5
2023-08-01,3,3,0,2,3,2,0,5,4,3
2023-08-02,4,4,0,5,5,0,0,3,3,1
2023-08-03,4,4,4,0,0,4,3,2,2,2
2023-08-04,5,0,4,2,5,5,2,2,0,0
2023-08-05,5,4,3,2,3,0,0,0,0,8
2023-08-06,3,5,2,5,4,3,3,0,0,0
2023-08-07,1,5,1,3,0,2,3,3,2,5
2023-08-08,1,0,0,0,3,0,4,3,5,9
2023-08-09,2,1,0,1,4,0,2,1,1,13
2023-08-10,4,0,4,4,0,5,5,2,0,1
2023-08-11,2,3,2,5,2,5,2,0,2,2
2023-08-12,0,4,2,5,4,3,3,0,3,1
2023-08-13,4,3,5,0,1,3,2,2,1,4
2023-08-14,0,1,3,4,2,0,1,1,5,8
2023-08-15,4,2,4,2,5,3,5,0,0,0
2023-08-16,2,4,2,3,0,0,2,3,3,6
2023-08-17,3,0,5,2,1,3,1,2,0,8
2023-08-18,2,0,0,2,1,3,4,1,2,10
2023-08-19,5,2,3,2,2,0,3,4,0,4
2023-08-20,5,0,3,1,0,4,4,5,1,2
2023-08-21,0,3,5,2,0,0,2,1,0,12
2023-08-22,2,5,0,1,5,3,4,0,5,0
2023-08-23,1,2,2,4,0,2,1,5,2,6
2023-08-24,5,3,1,4,3,4,1,1,0,3
2023-08-25,0,2,3,0,4,4,3,2,0,7
2023-08-26,0,3,3,1,3,5,1,5,4,0
2023-08-27,0,2,5,3,4,4,3,1,0,3
2023-08-28,3,2,2,2,2,2,3,3,0,6
2023-08-29,5,2,0,3,3,5,5,0,2,0
2023-08-30,0,4,0,0,5,5,0,3,4,4
2023-08-31,2,3,5,1,2,4,5,0,2,1
2023-09-01,3,0,2,0,3,0,2,4,1,10
2023-09-02,3,2,2,2,4,2,5,3,1,1
2023-09-03,1,3,2,1,2,1,3,1,2,9
2023-09-04,4,3,2,3,4,1,0,3,0,5
2023-09-05,0,1,0,4,2,2,2,0,2,12
2023-09-06,4,3,1,1,0,0,4,2,2,8
2023-09-07,4,0,0,4,0,0,4,0,3,10
2023-09-08,1,3,3,4,1,0,5,3,1,4
2023-09-09,1,4,2,4,4,4,1,4,0,1
2023-09-10,0,3,0,5,2,1,2,1,0,11
2023-09-11,5,4,3,0,4,2,3,2,0,2
2023-09-12,1,3,4,5,4,5,0,3,0,0
2023-09-13,1,5,1,1,3,4,1,4,1,4
2023-09-14,5,5,3,2,1,5,4,0,0,0
2023-09-15,0,1,1,3,4,5,2,0,4,5
2023-09-16,1,0,4,4,0,2,0,1,0,13
2023-09-17,4,4,2,4,1,5,3,1,1,0
2023-09-18,4,3,3,4,3,2,0,5,0,1
2023-09-19,3,2,1,2,1,0,5,4,4,3
2023-09-20,0,5,0,4,0,3,2,5,4,2
2023-09-21,5,3,1,2,2,5,3,4,0,0
2023-09-22,4,0,0,0,5,1,0,0,2,13
2023-09-23,2,3,3,2,3,2,4,1,1,4
2023-09-24,4,0,0,1,1,2,4,1,1,11
2023-09-25,5,0,3,3,4,1,2,4,3,0
2023-09-26,1,1,1,3,0,1,0,4,5,9
2023-09-27,1,4,1,0,4,2,5,4,2,2
2023-09-28,5,3,2,2,3,0,0,5,1,4
2023-09-29,4,4,5,3,3,5,0,0,1,0
2023-09-30,2,3,1,5,3,4,0,3,3,1
2023-10-01,4,5,5,2,5,4,0,0,0,0
2023-10-02,2,2,0,4,3,5,0,0,2,7
2023-10-03,3,5,1,3,0,5,2,3,3,0
2023-10-04,3,3,0,1,1,3,5,3,3,3
2023-10-05,1,4,3,5,1,3,1,4,2,1
2023-10-06,0,1,0,5,5,5,5,2,1,1
