skills/dates,PLSQL,RDBMS,NoSQL,Azure,Oracle,Python,Spark,Shell Script,Agile,Data warehousing
2022-12-31,1,9,4,5,9,6,5,3,9,3
2023-01-01,6,7,8,5,6,1,8,1,6,1
2023-01-02,2,9,6,5,7,4,1,4,9,7
2023-01-03,4,3,2,7,4,2,6,7,7,1
2023-01-04,9,8,1,1,2,5,2,4,7,3
2023-01-05,7,3,5,3,1,3,1,8,2,7
2023-01-06,1,4,1,6,8,9,5,6,3,4
2023-01-07,2,7,4,6,7,2,3,6,7,7
2023-01-08,2,8,7,1,8,5,6,8,8,5
2023-01-09,9,5,5,4,8,4,2,6,7,9
2023-01-10,7,2,1,2,9,9,7,8,9,1
2023-01-11,3,6,8,8,5,6,8,5,9,9
2023-01-12,8,7,3,7,6,6,1,4,2,2
2023-01-13,9,8,8,3,2,3,1,9,4,6
2023-01-14,8,9,6,5,9,1,1,6,4,9
2023-01-15,8,6,6,3,9,4,9,2,1,8
2023-01-16,5,2,3,8,8,7,6,9,8,5
2023-01-17,8,3,6,4,6,1,4,3,2,3
2023-01-18,3,5,3,6,9,5,1,2,7,8
2023-01-19,2,9,3,3,7,6,7,3,1,2
2023-01-20,7,2,9,4,8,8,8,2,1,9
2023-01-21,1,9,8,4,8,2,1,8,7,4
2023-01-22,5,7,6,8,9,3,8,7,5,6
2023-01-23,4,6,4,1,9,5,4,9,6,8
2023-01-24,4,4,7,5,3,8,6,2,6,5
2023-01-25,7,5,9,4,9,3,2,9,1,9
2023-01-26,4,3,8,4,4,2,8,1,1,1
2023-01-27,6,1,6,4,7,4,8,3,9,1
2023-01-28,1,1,7,8,4,8,3,3,8,6
2023-01-29,2,3,2,4,8,9,6,2,7,1
2023-01-30,8,9,4,5,2,4,2,8,5,2
2023-01-31,6,6,4,2,1,9,4,2,2,5
2023-02-01,7,9,8,5,9,1,4,5,2,5
2023-02-02,2,1,8,3,4,6,9,4,8,9
2023-02-03,9,1,3,7,4,3,7,9,2,4
2023-02-04,7,4,4,1,6,5,1,3,7,7
2023-02-05,5,6,9,8,2,7,7,4,2,2
2023-02-06,1,7,1,4,7,9,1,5,9,4
2023-02-07,8,6,6,1,5,7,3,4,9,8
2023-02-08,4,3,6,4,1,5,6,9,1,6
2023-02-09,6,2,8,4,8,7,5,7,3,2
2023-02-10,7,1,3,3,6,9,3,8,2,5
2023-02-11,3,8,8,6,6,4,6,7,6,7
2023-02-12,4,3,2,5,2,1,9,4,8,2
2023-02-13,5,8,3,3,5,8,1,6,6,1
2023-02-14,1,7,4,3,1,2,3,9,7,9
2023-02-15,7,8,2,8,4,4,5,6,6,4
2023-02-16,7,3,3,8,1,3,2,7,3,3
2023-02-17,4,7,2,6,7,6,4,3,9,3
2023-02-18,7,3,9,4,3,3,4,8,3,7
2023-02-19,9,3,6,9,4,8,1,4,5,1
2023-02-20,8,5,1,6,7,1,8,4,1,5
2023-02-21,4,1,3,4,9,7,3,5,6,4
2023-02-22,5,6,6,5,1,6,3,3,5,9
2023-02-23,7,5,9,5,6,5,4,6,2,9
2023-02-24,7,2,1,7,9,4,7,9,2,8
2023-02-25,9,4,4,2,3,2,7,1,5,3
2023-02-26,8,7,1,6,3,5,1,9,9,6
2023-02-27,2,1,9,5,5,7,8,6,1,9
2023-02-28,3,5,4,1,1,1,4,7,9,9
2023-03-01,7,6,2,4,9,7,2,9,7,6
2023-03-02,7,3,4,7,2,8,9,5,1,4
2023-03-03,9,6,8,8,6,1,7,3,3,9
2023-03-04,7,8,7,9,2,8,8,2,7,6
2023-03-05,6,7,1,7,6,4,5,9,9,6
2023-03-06,8,8,1,2,7,1,4,8,5,7
2023-03-07,6,5,7,7,8,6,9,2,8,2
2023-03-08,9,8,7,4,5,3,5,9,5,4
2023-03-09,3,5,2,3,2,1,7,5,6,5
2023-03-10,6,9,5,8,6,1,4,3,8,3
2023-03-11,8,9,8,4,9,3,6,1,1,4
2023-03-12,8,3,5,1,6,4,1,7,4,2
2023-03-13,3,5,1,9,3,4,9,6,4,4
2023-03-14,2,6,2,4,2,7,5,3,6,3
2023-03-15,1,6,8,4,6,1,4,1,4,5
2023-03-16,3,2,5,6,2,8,7,1,1,7
2023-03-17,5,1,9,2,6,5,6,8,2,2
2023-03-18,4,3,8,8,5,2,1,7,5,8
2023-03-19,3,9,7,5,7,7,9,5,1,9
2023-03-20,1,6,9,8,3,9,1,5,1,2
2023-03-21,8,2,5,5,2,3,8,3,6,9
2023-03-22,9,6,7,7,2,1,9,4,6,7
2023-03-23,8,9,4,7,8,5,2,3,7,4
2023-03-24,6,3,2,7,1,8,1,3,2,8
2023-03-25,2,2,8,3,8,5,1,4,7,5
2023-03-26,8,2,7,9,9,3,3,4,8,2
2023-03-27,1,7,2,6,2,8,8,1,9,7
2023-03-28,2,3,3,2,0,2,4,1,4,4
2023-03-29,3,3,0,2,4,3,1,1,4,4
2023-03-30,5,3,0,1,4,4,3,1,1,3
2023-03-31,0,0,0,1,3,0,0,1,0,20
2023-04-01,1,1,1,4,3,3,1,0,5,6
2023-04-02,1,1,5,5,5,0,4,1,3,0
2023-04-03,0,5,3,5,5,3,0,4,0,0
2023-04-04,4,0,2,0,0,0,3,4,3,9
2023-04-05,5,2,0,4,4,5,4,0,1,0
2023-04-06,4,2,5,4,0,5,0,1,4,0
2023-04-07,2,2,5,0,4,5,0,5,0,2
2023-04-08,4,2,5,0,1,4,4,5,0,0
2023-04-09,5,1,3,3,0,2,3,2,2,4
2023-04-10,4,2,1,5,0,1,0,3,2,7
2023-04-11,0,2,1,5,0,2,0,5,2,8
2023-04-12,1,1,3,2,1,1,4,5,1,6
2023-04-13,5,1,4,3,1,4,4,3,0,0
2023-04-14,4,4,0,1,1,5,5,3,0,2
2023-04-15,1,3,0,5,2,3,0,2,2,7
2023-04-16,5,4,1,3,5,1,1,5,0,0
2023-04-17,4,4,0,4,4,3,2,3,1,0
2023-04-18,4,3,1,1,5,3,1,3,1,3
2023-04-19,1,4,1,0,4,0,2,4,0,9
2023-04-20,1,0,3,1,3,5,1,3,4,4
2023-04-21,2,5,5,1,3,3,0,1,2,3
2023-04-22,4,2,5,5,5,2,0,1,1,0
2023-04-23,3,0,3,1,2,0,1,2,1,12
2023-04-24,0,3,2,1,2,5,1,2,1,8
2023-04-25,5,5,5,3,0,0,5,2,0,0
2023-04-26,1,5,2,2,2,1,5,0,2,5
2023-04-27,2,0,4,0,2,2,1,5,3,6
2023-04-28,3,4,0,3,2,5,0,5,0,3
2023-04-29,3,0,5,5,2,1,0,2,0,7
2023-04-30,3,3,1,4,3,4,0,1,3,3
2023-05-01,5,5,3,5,2,4,1,0,0,0
2023-05-02,3,3,5,5,5,0,4,0,0,0
2023-05-03,0,1,4,1,5,5,1,0,2,6
2023-05-04,4,5,3,4,5,0,1,0,2,1
2023-05-05,3,3,2,1,1,1,1,3,2,8
2023-05-06,3,0,1,3,1,4,3,4,4,2
2023-05-07,5,1,0,0,5,2,1,2,5,4
2023-05-08,5,3,1,0,3,3,5,1,3,1
2023-05-09,4,1,4,1,0,0,4,5,3,3
2023-05-10,4,0,3,4,4,4,5,0,1,0
2023-05-11,5,3,5,3,4,0,0,4,1,0
2023-05-12,3,1,3,2,4,1,1,3,3,4
2023-05-13,4,5,1,4,2,0,1,0,3,5
2023-05-14,3,5,3,1,3,4,2,1,1,2
2023-05-15,5,3,2,0,2,1,5,4,3,0
2023-05-16,0,0,3,0,4,5,2,4,1,6
2023-05-17,1,5,0,3,5,4,0,2,3,2
2023-05-18,1,3,2,5,1,4,3,0,3,3
2023-05-19,5,2,5,4,4,2,1,0,2,0
2023-05-20,2,1,2,3,0,4,4,3,3,3
2023-05-21,4,4,2,5,5,2,0,1,2,0
2023-05-22,0,2,5,4,5,2,5,1,1,0
2023-05-23,5,3,0,4,2,2,1,2,2,4
2023-05-24,0,2,1,3,0,3,4,2,3,7
2023-05-25,3,1,0,5,4,2,4,1,1,4
2023-05-26,1,5,3,2,0,1,0,0,2,11
2023-05-27,1,1,3,1,1,5,1,2,2,8
2023-05-28,2,1,0,0,2,0,5,2,2,11
2023-05-29,4,0,2,1,1,3,2,5,0,7
2023-05-30,3,1,4,3,5,0,0,2,2,5
2023-05-31,2,0,4,2,1,0,3,1,3,9
2023-06-01,0,5,3,2,1,0,3,3,5,3
2023-06-02,1,1,4,5,3,5,1,4,1,0
2023-06-03,3,2,1,0,1,1,3,1,0,13
2023-06-04,4,4,4,3,2,3,4,1,0,0
2023-06-05,0,2,0,1,4,2,1,0,5,10
2023-06-06,2,1,5,5,0,0,1,4,5,2
2023-06-07,4,0,5,4,2,0,1,0,4,5
2023-06-08,3,0,3,4,2,5,1,5,1,1
2023-06-09,1,1,5,3,0,4,4,0,1,6
2023-06-10,2,5,3,5,2,4,1,2,0,1
2023-06-11,4,5,5,2,1,2,4,0,0,2
2023-06-12,1,0,1,1,4,1,3,1,0,13
2023-06-13,0,4,5,1,1,0,2,4,2,6
2023-06-14,5,0,2,5,3,2,1,5,0,2
2023-06-15,3,4,3,3,1,1,3,3,1,3
2023-06-16,0,1,1,0,1,3,2,1,2,14
2023-06-17,2,0,1,3,3,5,2,0,2,7
2023-06-18,1,4,0,2,2,3,2,2,4,5
2023-06-19,3,3,4,2,3,2,1,3,1,3
2023-06-20,3,3,0,3,1,3,5,5,2,0
2023-06-21,3,1,5,4,1,5,3,3,0,0
2023-06-22,2,5,4,0,2,4,2,5,0,1
2023-06-23,4,2,4,4,1,1,5,4,0,0
2023-06-24,1,1,0,0,4,3,0,2,1,13
2023-06-25,3,4,5,0,3,0,2,0,3,5
2023-06-26,5,1,2,0,2,5,4,3,3,0
2023-06-27,0,2,0,1,5,0,2,1,2,12
2023-06-28,0,4,0,5,4,2,3,1,5,1
2023-06-29,5,5,3,5,0,5,1,1,0,0
2023-06-30,1,4,5,1,1,4,5,4,0,0
2023-07-01,1,3,0,2,4,0,5,5,3,2
2023-07-02,5,1,2,0,3,4,1,2,0,7
2023-07-03,1,4,3,2,0,2,3,1,4,5
2023-07-04,2,2,4,4,2,2,1,0,1,7
2023-07-05,3,0,4,2,2,0,3,4,1,6
2023-07-06,4,3,4,0,2,1,5,5,0,1
2023-07-07,0,4,2,2,4,4,2,5,1,1
2023-07-08,1,4,3,2,1,3,3,1,4,3
2023-07-09,3,1,3,5,1,0,2,0,0,10
2023-07-10,0,5,5,5,4,2,0,0,3,1
2023-07-11,4,3,5,1,0,5,4,2,1,0
2023-07-12,5,2,2,0,1,5,3,1,3,3
2023-07-13,3,0,5,1,5,4,2,2,0,3
2023-07-14,4,4,1,0,1,0,4,2,2,7
2023-07-15,1,5,3,1,4,5,5,1,0,0
2023-07-16,2,3,3,5,4,5,3,0,0,0
2023-07-17,1,5,5,1,4,3,0,2,0,4
2023-07-18,1,1,0,1,4,5,0,4,3,6
2023-07-19,2,2,4,5,4,2,3,2,0,1
2023-07-20,5,2,0,2,5,0,0,3,0,8
2023-07-21,0,0,5,3,3,3,5,5,1,0
2023-07-22,3,3,3,0,4,4,3,5,0,0
2023-07-23,5,5,0,4,3,5,1,0,1,1
2023-07-24,4,1,3,3,0,3,0,4,5,2
2023-07-25,0,2,4,3,0,1,1,1,3,10
2023-07-26,0,1,2,5,0,1,1,2,4,9
2023-07-27,2,5,3,4,0,2,2,5,0,2
2023-07-28,1,1,2,3,4,4,1,2,5,2
2023-07-29,2,3,1,2,3,0,3,0,3,8
2023-07-30,5,5,0,3,1,5,4,0,1,1
2023-07-31,2,2,1,4,2,3,1,1,1,8
2023-08-01,4,4,0,5,4,4,0,2,0,2
2023-08-02,3,5,5,1,4,3,0,1,2,1
2023-08-03,1,0,0,2,1,4,5,4,5,3
2023-08-04,0,1,1,0,5,5,0,4,5,4
2023-08-05,5,1,4,5,2,4,4,0,0,0
2023-08-06,5,0,4,5,1,3,4,3,0,0
2023-08-07,1,4,4,1,0,4,2,3,3,3
2023-08-08,0,0,0,2,5,4,4,1,5,4
2023-08-09,4,0,4,0,3,4,0,3,1,6
2023-08-10,3,4,0,4,5,2,0,1,1,5
2023-08-11,2,4,0,5,4,0,3,5,0,2
2023-08-12,0,3,3,0,0,1,4,0,1,13
2023-08-13,1,4,4,4,3,3,5,1,0,0
2023-08-14,1,3,4,2,0,1,1,3,2,8
2023-08-15,3,1,5,5,3,1,2,0,0,5
2023-08-16,5,1,5,3,3,5,2,0,1,0
2023-08-17,1,0,1,3,0,0,2,5,4,9
2023-08-18,1,0,5,2,3,0,5,5,3,1
2023-08-19,1,2,3,3,0,4,4,4,1,3
2023-08-20,5,5,2,2,4,1,0,4,2,0
2023-08-21,5,4,3,3,3,2,0,4,0,1
2023-08-22,3,3,0,0,1,1,4,1,4,8
2023-08-23,4,2,2,2,2,5,2,2,4,0
2023-08-24,0,2,2,0,4,2,1,2,0,12
2023-08-25,5,0,2,0,3,3,3,2,0,7
2023-08-26,5,3,4,5,3,2,2,0,1,0
2023-08-27,2,3,3,1,1,2,4,1,2,6
2023-08-28,2,4,1,4,5,3,5,0,0,1
2023-08-29,2,4,3,5,1,0,5,4,0,1
2023-08-30,5,1,4,0,1,0,3,1,3,7
2023-08-31,1,5,4,3,4,2,1,1,3,1
2023-09-01,2,1,5,5,4,0,1,5,0,2
2023-09-02,0,3,2,2,3,4,3,0,1,7
2023-09-03,0,3,2,0,1,1,4,3,4,7
2023-09-04,5,0,5,5,2,2,1,5,0,0
2023-09-05,0,0,5,0,2,5,5,2,4,2
2023-09-06,4,2,3,1,3,4,0,1,3,4
2023-09-07,2,4,0,0,0,5,5,2,0,7
2023-09-08,1,3,0,1,0,4,4,0,3,9
2023-09-09,3,3,2,3,5,2,1,1,3,2
2023-09-10,2,0,4,2,4,0,4,0,2,7
2023-09-11,4,0,0,2,3,1,0,1,4,10
2023-09-12,4,0,1,5,5,3,0,2,1,4
2023-09-13,2,1,2,3,4,0,0,5,5,3
2023-09-14,3,5,2,3,4,5,1,0,1,1
2023-09-15,0,1,5,0,5,4,0,0,2,8
2023-09-16,4,4,3,0,5,4,0,4,0,1
2023-09-17,2,1,1,4,5,0,5,4,3,0
2023-09-18,0,4,5,0,5,4,2,0,1,4
2023-09-19,3,0,3,2,5,3,1,1,3,4
2023-09-20,0,5,4,2,2,4,4,2,0,2
2023-09-21,0,1,1,0,5,4,3,4,0,7
2023-09-22,5,3,5,1,5,0,5,1,0,0
2023-09-23,4,0,2,1,2,4,1,1,0,10
2023-09-24,2,2,3,2,2,2,1,1,2,8
2023-09-25,0,2,1,1,5,2,0,0,1,13
2023-09-26,3,3,1,3,3,0,0,5,0,7
2023-09-27,1,1,5,5,4,3,3,0,2,1
2023-09-28,1,1,0,1,0,1,1,4,2,14
2023-09-29,5,5,2,4,3,1,1,0,4,0
2023-09-30,5,4,5,2,2,0,4,1,1,1
2023-10-01,1,3,0,2,4,3,4,5,1,2
2023-10-02,5,0,2,4,1,5,1,2,3,2
2023-10-03,5,5,3,4,3,1,1,2,0,1
2023-10-04,0,3,3,5,5,5,2,2,0,0
2023-10-05,4,4,1,3,5,5,2,0,0,1
2023-10-06,0,4,2,1,4,0,4,3,0,7
